-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1986 through 12/31/2005 
Location: Latitude  32.8279   Longitude -117.1826 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 583.82 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_LW_DWN,T2M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M,PS,PRECTOTCORR
1986,1,1,-999.0,11.98,18.27,7.87,5.45,2.26,95.35,0.0
1986,1,2,-999.0,11.26,18.11,6.95,3.34,1.7,95.19,0.0
1986,1,3,-999.0,10.88,14.59,8.89,4.97,3.0,95.26,0.0
1986,1,4,-999.0,13.08,17.59,9.93,1.65,1.1,95.43,0.15
1986,1,5,-999.0,12.95,18.74,10.3,5.51,2.45,95.38,0.08
1986,1,6,-999.0,12.43,20.97,7.53,6.07,2.9,95.38,0.06
1986,1,7,-999.0,8.53,14.3,5.32,12.4,7.74,95.66,0.0
1986,1,8,-999.0,8.46,14.89,4.86,9.9,6.42,95.86,0.04
1986,1,9,-999.0,9.38,16.35,5.14,7.9,5.84,95.58,0.0
1986,1,10,-999.0,11.6,19.16,6.78,7.13,5.84,95.53,0.0
1986,1,11,-999.0,12.26,18.83,7.9,9.37,6.7,95.37,0.0
1986,1,12,-999.0,12.23,19.11,8.23,9.38,6.53,95.31,0.0
1986,1,13,-999.0,11.83,16.82,8.12,8.21,5.43,95.0,0.18
1986,1,14,-999.0,12.76,16.87,10.48,3.37,2.12,94.74,0.75
1986,1,15,-999.0,11.24,17.81,7.62,4.24,2.14,95.15,0.06
1986,1,16,-999.0,11.54,19.73,6.23,2.84,1.84,95.55,0.0
1986,1,17,-999.0,13.36,21.0,8.94,3.4,2.4,95.58,0.01
1986,1,18,-999.0,14.01,21.53,9.18,7.45,4.83,95.26,0.0
1986,1,19,-999.0,14.54,23.32,9.19,5.5,3.09,94.96,0.0
1986,1,20,-999.0,11.23,18.76,6.64,5.69,2.38,94.86,0.0
1986,1,21,-999.0,12.37,19.95,7.46,2.37,1.34,94.92,0.0
1986,1,22,-999.0,12.58,20.15,6.97,4.03,2.23,95.16,0.0
1986,1,23,-999.0,12.01,21.04,6.65,5.19,2.88,95.21,0.0
1986,1,24,-999.0,11.92,20.65,6.37,4.52,3.05,95.17,0.0
1986,1,25,-999.0,11.98,19.65,7.12,7.75,5.48,95.36,0.0
1986,1,26,-999.0,13.12,19.74,8.73,7.91,5.53,95.18,0.0
1986,1,27,-999.0,14.4,22.9,8.22,5.66,3.75,94.83,0.0
1986,1,28,-999.0,14.75,22.28,10.7,4.27,2.22,94.74,0.01
1986,1,29,-999.0,14.08,20.71,10.28,6.45,3.46,94.8,2.45
1986,1,30,-999.0,13.35,17.26,10.09,7.24,4.76,94.71,17.61
1986,1,31,-999.0,12.1,17.6,9.28,4.91,2.71,94.75,4.25
1986,2,1,-999.0,11.5,18.37,6.58,4.65,2.34,94.97,0.29
1986,2,2,-999.0,10.48,16.87,5.14,7.27,4.45,95.36,0.02
1986,2,3,-999.0,10.46,15.42,6.83,8.8,6.59,94.98,1.17
1986,2,4,-999.0,10.73,16.98,6.5,7.16,4.77,94.53,0.04
1986,2,5,-999.0,10.46,17.51,6.64,6.46,3.43,94.9,0.11
1986,2,6,-999.0,8.37,13.69,3.71,8.91,5.67,94.55,0.26
1986,2,7,-999.0,7.6,13.6,3.26,4.02,1.85,94.58,9.92
1986,2,8,-999.0,4.96,7.05,2.94,7.23,5.12,94.06,12.03
1986,2,9,-999.0,5.94,12.45,1.89,4.86,3.16,94.43,0.01
1986,2,10,-999.0,6.11,13.75,0.91,4.23,2.73,95.0,0.0
1986,2,11,-999.0,7.03,11.5,2.87,3.82,2.16,95.02,0.0
1986,2,12,-999.0,8.9,16.62,3.66,4.8,2.16,95.05,0.15
1986,2,13,-999.0,10.13,12.6,6.8,5.23,2.98,95.07,2.86
1986,2,14,-999.0,13.18,18.66,10.37,8.27,4.22,94.81,7.75
1986,2,15,-999.0,12.74,16.05,10.46,8.05,5.91,94.62,62.23
1986,2,16,-999.0,11.34,16.0,9.18,6.99,4.77,95.15,0.83
1986,2,17,-999.0,11.69,16.73,8.5,5.84,3.78,95.31,0.07
1986,2,18,-999.0,13.51,20.22,9.17,4.97,2.93,95.15,1.47
1986,2,19,-999.0,12.51,15.91,9.85,6.98,3.95,94.95,0.96
1986,2,20,-999.0,10.84,15.78,7.48,7.72,5.22,95.11,0.04
1986,2,21,-999.0,12.27,20.37,4.31,4.22,2.55,95.27,0.0
1986,2,22,-999.0,14.61,22.03,8.16,5.08,2.81,95.28,0.06
1986,2,23,-999.0,17.06,25.11,10.88,4.55,3.16,95.02,0.01
1986,2,24,-999.0,17.83,25.94,11.28,5.78,3.68,95.13,0.0
1986,2,25,-999.0,19.83,27.97,13.49,3.12,2.14,95.15,0.0
1986,2,26,-999.0,20.33,28.05,15.44,3.18,1.91,94.82,0.0
1986,2,27,-999.0,19.48,28.64,14.09,2.54,1.82,94.69,0.0
1986,2,28,-999.0,18.32,26.41,12.51,2.55,1.47,94.71,0.0
1986,3,1,-999.0,15.34,23.94,9.9,4.02,2.02,94.83,0.11
1986,3,2,-999.0,12.48,18.56,8.08,5.32,3.27,94.93,0.0
1986,3,3,-999.0,15.8,23.52,8.13,5.31,3.12,95.07,0.06
1986,3,4,-999.0,17.66,25.68,11.41,4.2,2.85,95.23,0.0
1986,3,5,-999.0,18.12,26.59,12.63,3.27,1.7,95.08,0.0
1986,3,6,-999.0,15.85,24.08,10.12,4.67,2.18,95.12,0.01
1986,3,7,-999.0,13.15,20.83,8.06,5.46,3.23,94.92,2.02
