YEAR,MO,DY,ALLSKY_SFC_LW_DWN,T2M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M,PS,PRECTOTCORR
1986,1,1,378.8,22.59,23.86,21.76,5.01,3.44,101.85,1.19
1986,1,2,367.8,22.48,23.78,20.99,2.25,1.69,101.97,0.18
1986,1,3,354.2,22.55,23.85,21.37,2.47,1.12,101.99,0.21
1986,1,4,361.3,22.98,23.79,21.88,3.67,3.14,101.82,0.68
1986,1,5,370.9,22.52,25.03,18.49,10.47,6.09,101.7,3.14
1986,1,6,375.8,20.39,21.94,18.49,7.27,5.44,101.94,1.39
1986,1,7,395,23.07,24.47,21.94,6.05,4.33,101.77,18.96
1986,1,8,404.6,22.2,22.83,21.6,12.72,7.13,102.08,29.57
1986,1,9,399.2,22.23,23.01,21.43,13.31,11.09,102.27,9
1986,1,10,397.4,23.54,24.64,22.82,9.99,7.97,101.59,24.65
1986,1,11,395.2,21.43,23.3,19.8,10.08,8.67,101.34,3.76
1986,1,12,388,21.95,23.56,20.62,7.12,5.23,101.73,7.93
1986,1,13,344.7,18.6,20.48,16.49,8.68,6.75,101.75,0.6
1986,1,14,328.2,16.04,18.16,13.85,8.48,5.22,102.09,0
1986,1,15,342.3,17.8,20.11,14.87,7.12,5.5,102.44,0.07
1986,1,16,351.5,21.31,22.42,19.71,8.48,6.95,102.59,1.4
1986,1,17,373.8,22.44,23.16,21.73,8.7,7.41,102.35,1.38
1986,1,18,398.4,23.15,23.72,22.43,7.02,5.76,101.85,3.13
1986,1,19,391.4,22.64,23.55,20.73,7.12,6.04,101.42,1.31
1986,1,20,353.7,19.52,20.83,18.03,6.62,5.84,101.73,0.09
1986,1,21,354.8,18.98,21.41,15.95,6.29,4.56,102.05,0
1986,1,22,373.7,21.58,22.3,20.71,3.7,3.13,102.11,0.46
1986,1,23,382.7,21.88,22.88,20.98,4.06,2.77,101.97,0.53
1986,1,24,360.9,21.19,22.8,19.4,5.41,4.05,101.94,0.02
1986,1,25,371.5,22.33,23.34,21.14,3.65,2.66,101.84,0.33
1986,1,26,380.7,21,23.43,15.43,14.63,7.93,101.27,1.95
