-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1986 through 12/31/2005 
Location: Latitude  46.8897   Longitude -100.7033 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 571.53 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
PS                    MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_LW_DWN,T2M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M,PS,PRECTOTCORR
1986,1,1,248.4,-6.88,-1.37,-11.75,6.25,2.88,94.1,0.72
1986,1,2,236.4,-12.29,-10.56,-13.77,6.7,4.41,94.22,3.26
1986,1,3,233.5,-14.42,-11.94,-17.58,5.8,2.88,94.84,0.51
1986,1,4,252.2,-14.03,-11.27,-17.27,6.62,5.78,95.48,0.06
1986,1,5,253.2,-16.77,-12.57,-23.35,6.53,4.57,94.86,0.03
1986,1,6,244.3,-25.75,-21.43,-29.7,3.98,3.12,95.83,0.02
1986,1,7,236.4,-17.74,-10.62,-27.06,6.43,4.91,96.18,0.23
1986,1,8,262.1,-3.41,1.53,-9.63,9.05,7.44,94.96,0.01
1986,1,9,266.2,-0.42,1.71,-5.86,11.62,7.48,95.14,0.0
1986,1,10,238.8,-2.66,0.72,-6.63,6.88,5.64,95.09,0.02
1986,1,11,269.3,0.82,2.63,-2.39,14.09,11.11,94.54,0.0
1986,1,12,227.7,-5.33,-1.57,-10.23,11.77,7.01,95.82,0.0
1986,1,13,237.1,-4.6,1.65,-9.38,8.36,6.12,94.84,0.0
1986,1,14,222.5,-4.06,1.64,-8.12,6.77,4.0,94.79,0.02
1986,1,15,242.9,-3.92,0.8,-7.24,5.09,3.68,94.24,0.02
1986,1,16,250.0,-0.47,4.74,-4.96,10.05,7.13,93.86,0.93
1986,1,17,260.4,-0.41,2.33,-2.69,7.48,4.72,94.08,1.35
1986,1,18,228.0,-2.95,-0.93,-4.38,10.59,6.25,94.87,0.07
1986,1,19,268.2,0.12,5.1,-4.41,7.18,4.64,94.0,0.01
1986,1,20,270.0,0.8,3.97,-3.47,9.44,5.99,93.89,1.42
1986,1,21,236.0,-7.45,-3.89,-9.9,10.3,6.62,95.19,0.66
1986,1,22,231.5,-7.4,-3.49,-9.74,5.79,3.54,95.57,0.01
1986,1,23,238.2,-8.88,-5.56,-11.12,8.57,6.05,94.8,1.38
1986,1,24,229.8,-5.06,-1.02,-9.48,11.12,7.64,94.19,0.29
1986,1,25,221.8,-6.61,-2.65,-15.67,12.97,11.02,95.41,0.08
1986,1,26,238.4,-17.61,-13.16,-21.38,7.91,4.27,96.47,0.01
1986,1,27,245.1,-9.49,-0.42,-18.13,9.27,5.35,94.31,0.15
1986,1,28,235.0,-7.4,-3.44,-12.54,8.87,4.35,93.84,0.44
1986,1,29,233.4,-10.1,-4.89,-13.99,5.54,3.45,95.3,0.07
1986,1,30,240.4,-8.52,-6.15,-10.96,6.21,4.73,95.16,1.07
1986,1,31,238.7,-7.76,-4.99,-9.82,7.17,6.22,94.8,0.72
1986,2,1,243.0,-3.84,2.3,-8.1,5.7,3.83,94.59,0.12
1986,2,2,234.9,-2.57,2.25,-5.16,5.45,3.11,94.98,0.09
1986,2,3,244.7,-2.02,2.3,-5.27,5.02,3.71,94.36,0.27
1986,2,4,244.6,-3.06,1.28,-6.42,5.16,3.95,94.63,0.13
1986,2,5,230.4,-4.31,1.58,-7.77,2.7,1.59,95.05,0.1
1986,2,6,235.4,-4.49,0.64,-8.31,7.18,3.53,95.09,0.57
1986,2,7,243.7,-11.15,-8.81,-14.31,7.44,6.01,95.5,0.17
1986,2,8,232.5,-14.34,-10.49,-16.72,5.48,4.19,95.52,0.04
1986,2,9,223.2,-16.49,-11.93,-18.99,6.2,4.14,95.66,0.01
1986,2,10,230.2,-17.21,-13.7,-19.7,3.97,3.24,95.65,0.17
1986,2,11,231.6,-16.02,-13.0,-18.1,4.59,3.61,95.58,0.09
1986,2,12,219.8,-13.81,-6.88,-18.32,6.01,4.61,95.22,0.01
1986,2,13,228.2,-13.25,-8.03,-16.21,7.96,6.14,94.5,0.28
1986,2,14,226.0,-13.23,-6.1,-20.09,8.73,5.89,94.53,0.01
1986,2,15,237.5,-12.16,-10.25,-13.86,6.41,4.16,94.26,1.39
1986,2,16,239.7,-8.46,-1.74,-14.6,8.85,6.38,93.33,0.51
1986,2,17,226.7,-8.02,-4.53,-14.62,7.41,5.45,93.34,2.05
1986,2,18,242.5,-16.23,-13.79,-19.44,4.83,3.8,94.18,2.16
1986,2,19,213.3,-17.53,-15.09,-20.2,6.44,4.37,94.67,2.75
1986,2,20,229.0,-17.45,-13.14,-23.69,9.5,4.53,95.38,0.14
1986,2,21,239.4,-8.07,2.58,-16.29,10.14,7.59,94.46,0.25
1986,2,22,222.1,-13.42,-9.37,-17.85,9.62,4.67,94.91,0.41
1986,2,23,233.2,-10.24,-4.87,-14.39,5.13,3.05,94.73,0.08
1986,2,24,232.5,-2.21,4.92,-8.28,5.53,3.3,94.53,0.15
1986,2,25,238.1,4.48,12.35,-0.19,10.56,7.5,94.04,0.06
1986,2,26,240.4,3.02,8.89,-0.89,12.09,8.9,94.23,0.04
1986,2,27,225.0,-3.12,1.38,-6.1,7.23,5.29,95.69,0.01
1986,2,28,239.4,0.48,9.01,-5.57,6.09,4.38,95.0,0.22
1986,3,1,262.6,3.17,10.73,-1.51,7.47,6.29,94.22,0.01
1986,3,2,265.6,2.37,10.59,-2.38,7.34,5.27,94.92,0.04
1986,3,3,241.5,2.62,11.63,-2.98,11.79,6.56,95.44,0.02
1986,3,4,250.7,3.74,14.75,-3.88,9.62,6.16,94.55,0.03
1986,3,5,277.2,-1.02,7.16,-7.18,8.55,6.27,94.83,0.22
1986,3,6,264.6,-7.35,-4.3,-11.82,10.33,7.38,95.61,0.47
1986,3,7,262.6,-7.37,-1.24,-13.28,11.81,8.64,94.91,0.03
1986,3,8,267.1,3.01,14.44,-4.1,8.47,5.33,93.0,0.11
1986,3,9,264.4,0.59,4.37,-3.42,6.02,3.64,93.63,0.67
1986,3,10,248.8,2.19,9.87,-3.67,3.87,2.23,94.15,0.02
1986,3,11,271.1,2.51,8.49,-0.77,6.94,5.09,94.22,2.84
1986,3,12,277.1,0.32,3.15,-1.9,4.95,3.91,94.56,2.08
1986,3,13,268.1,0.92,7.15,-3.31,5.55,3.73,94.38,0.0
1986,3,14,231.0,2.32,9.07,-3.67,3.94,2.6,94.51,0.07
1986,3,15,232.1,2.47,9.37,-2.1,4.1,2.91,94.8,0.0
1986,3,16,269.9,2.65,9.58,-2.73,7.1,3.73,94.64,0.0
1986,3,17,276.3,2.24,8.94,-2.63,7.13,4.26,94.59,0.01
1986,3,18,298.6,0.24,5.99,-4.59,9.12,6.64,94.64,0.13
1986,3,19,270.0,-5.46,-1.6,-7.6,8.56,5.48,95.68,0.04
1986,3,20,273.0,-1.38,6.28,-7.56,7.26,4.94,95.78,0.08
1986,3,21,267.9,6.62,17.5,-2.67,10.63,6.29,94.86,0.0
1986,3,22,262.9,7.76,13.09,0.94,13.95,9.91,94.65,0.0
1986,3,23,257.2,1.09,7.99,-4.92,8.03,4.77,95.9,0.0
1986,3,24,289.2,7.17,18.96,-1.84,8.21,5.43,94.28,0.38
1986,3,25,284.4,6.01,11.48,-4.4,14.76,10.92,94.25,0.39
1986,3,26,278.1,1.12,8.55,-6.1,11.18,5.69,95.59,0.0
