Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,29/1,30/1,31/0,31/0,30/1,30/1,30/1,31/0,30/1,30/1,30/1,31/0,30/1,30/1,31/0,30/1,30/1,30/1,30/1,0/1
February,27/1,27/1,27/1,28/0,27/1,28/0,28/0,27/1,27/1,27/1,27/1,27/1,28/0,28/0,27/1,27/1,27/1,27/1,27/1,0/0
March,30/1,31/0,30/1,30/1,30/1,30/1,31/0,30/1,30/1,30/1,30/1,30/1,31/0,30/1,31/0,30/1,31/0,30/1,30/1,0/0
April,29/1,29/1,30/0,30/0,29/1,29/1,29/1,29/1,29/1,29/1,29/1,30/0,29/1,29/1,29/1,29/1,29/1,29/1,30/0,0/0
May,30/1,30/1,30/1,30/1,30/1,30/1,30/1,31/0,31/0,30/1,30/1,30/1,31/0,30/1,30/1,30/1,30/1,31/0,30/1,0/0
June,29/1,29/1,29/1,29/1,29/1,29/1,30/0,29/1,30/0,29/1,29/1,29/1,30/0,29/1,29/1,29/1,29/1,29/1,29/1,0/0
July,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,31/0,0/0
August,30/1,30/1,30/1,30/1,30/1,30/1,31/0,31/0,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,30/1,0/0
September,29/1,30/0,29/1,29/1,29/1,29/1,29/1,29/1,29/1,29/1,29/1,30/0,30/0,30/0,29/1,29/1,29/1,30/0,30/0,0/0
October,30/1,30/1,30/1,30/1,30/1,30/1,30/1,31/0,31/0,30/1,31/0,30/1,30/1,30/1,30/1,30/1,30/1,30/1,31/0,0/0
November,29/1,30/0,30/0,30/0,29/1,30/0,30/0,29/1,29/1,29/1,29/1,29/1,29/1,29/1,29/1,29/1,30/0,29/1,29/1,0/0
December,30/1,30/1,30/1,30/1,30/1,30/1,31/0,31/0,30/1,30/1,30/1,31/0,30/1,30/1,30/1,30/1,30/1,30/1,31/0,0/0
