Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,30/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,1/0
February,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,28/0,0/0
March,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,0/0
April,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,0/0
May,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,0/0
June,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,0/0
July,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,0/0
August,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,0/0
September,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,0/0
October,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,0/0
November,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,30/0,0/0
December,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,31/0,0/0
