Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,99.03,98.97,98.57,99.33,98.35,98.74,98.72,99.07,98.87,98.92,98.73,98.42,98.67,98.77,98.61,98.21,98.63,98.32,98.7,98.88
February,99.37,98.73,98.79,99.01,98.79,98.89,99.15,98.8,98.22,99.07,98.65,98.66,98.67,98.87,98.78,98.03,98.53,97.95,98.28,0
March,98.2,98.41,98.62,98.57,98.7,98.45,98.47,98.06,98.85,98.31,98.22,98.94,98.89,98.25,98.85,98.8,99.49,98.48,98.78,0
April,98.59,98.43,99.07,98.83,98.47,98.75,99.05,98.17,98.65,98.55,98.6,98.58,98.67,98.83,98.59,99.3,98.63,98.93,99.02,0
May,98.54,98.31,98.54,98.59,98.46,98.48,98.38,98.71,98.55,98.71,98.3,98.4,98.53,98.74,98.25,98.45,98.51,98.54,98.67,0
June,98.6,98.38,98.76,98.68,98.57,98.75,98.85,98.72,98.64,98.79,98.77,98.33,98.61,98.67,98.74,98.67,98.41,98.74,98.76,0
July,98.59,98.74,98.66,98.61,98.43,98.62,98.74,98.72,98.65,98.69,98.61,98.78,98.49,98.63,98.51,98.57,98.31,98.44,98.76,0
August,98.94,98.66,98.71,98.55,98.86,98.83,98.73,99.05,98.94,98.7,98.87,98.83,98.93,98.73,98.33,98.82,98.92,98.7,98.61,0
September,99.07,99.09,99.02,99.03,99.14,99.3,99.07,98.97,99.15,99.02,98.92,98.93,99.25,98.92,98.74,98.83,99.16,99.3,99.4,0
October,99.4,98.93,99.14,99.56,98.58,99.01,99.0,98.44,99.17,99.17,99.01,99.02,99.17,99.19,99.27,98.69,99.13,99.08,99.37,0
November,98.04,98.95,99.13,98.71,99.07,99.29,98.84,98.98,99.06,98.66,98.7,98.45,98.64,99.27,98.61,99.14,99.17,98.74,98.69,0
December,98.77,98.87,98.95,98.58,98.94,99.49,99.01,99.05,98.93,98.38,98.51,98.79,99.08,98.53,98.62,98.4,98.57,98.09,98.98,0
Annual,98.76,98.71,98.83,98.84,98.69,98.88,98.83,98.73,98.81,98.75,98.66,98.68,98.8,98.78,98.66,98.66,98.79,98.61,98.84,98.88
