Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,99.45,99.26,99.87,99.62,99.21,99.78,99.35,99.93,99.98,99.31,99.54,99.27,99.65,99.78,99.73,99.51,99.19,99.43,99.51,100.94
February,99.42,99.92,99.47,100.02,99.74,99.44,99.48,99.83,99.99,99.33,99.21,99.87,99.54,99.63,99.8,99.89,99.41,99.52,100.01,0
March,99.5,99.78,99.57,99.99,100.07,99.1,99.32,99.76,99.25,99.84,99.58,99.54,99.39,99.69,99.52,99.36,99.72,99.4,99.81,0
April,99.32,99.34,98.97,99.49,99.41,99.53,99.52,99.35,99.42,99.34,99.11,99.34,99.38,99.5,99.41,99.71,99.71,99.65,99.42,0
May,99.42,99.72,99.46,99.31,99.27,99.66,99.81,99.39,99.34,99.28,99.58,99.19,99.16,99.53,99.2,99.5,99.53,99.36,99.47,0
June,99.39,99.26,99.41,99.42,99.16,99.62,99.25,99.48,99.24,99.48,99.43,99.39,98.97,99.64,99.42,99.5,99.45,99.29,99.5,0
July,99.42,99.47,99.51,99.67,99.61,99.4,99.29,99.39,99.46,99.28,99.27,99.48,99.38,99.36,99.45,99.48,99.53,99.3,99.31,0
August,99.61,99.54,99.42,99.48,99.71,99.64,99.69,99.59,99.58,99.57,99.84,99.51,99.71,99.45,99.59,99.45,99.79,99.61,99.52,0
September,99.71,99.45,99.65,99.84,99.49,99.84,99.86,99.53,99.62,99.79,99.31,99.4,99.29,99.45,99.58,99.65,99.64,99.7,100.01,0
October,99.81,99.68,99.46,99.68,99.53,99.67,99.65,99.48,99.79,99.24,99.59,99.72,99.94,99.73,100.0,99.51,99.79,99.33,99.51,0
November,99.93,99.77,99.22,99.03,99.54,99.81,99.71,99.81,99.66,99.32,99.99,99.32,99.54,99.68,99.39,99.83,99.19,99.52,99.88,0
December,99.91,99.34,99.6,99.62,99.71,99.75,99.73,99.48,100.15,99.63,99.5,99.09,99.73,99.58,99.87,99.4,99.45,99.51,99.48,0
Annual,99.58,99.54,99.47,99.59,99.54,99.6,99.56,99.58,99.62,99.45,99.5,99.42,99.47,99.58,99.58,99.56,99.54,99.47,99.62,100.94
