Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Jan, 1986",97.08,98.7,99.17,99.53,100.37
"Feb, 1986",98.39,99.03,99.27,99.59,101.06
"Mar, 1986",96.15,97.42,98.38,98.76,99.87
"Apr, 1986",97.14,98.01,98.62,99.07,99.94
"May, 1986",97.65,98.28,98.52,98.92,99.48
"Jun, 1986",97.25,98.19,98.68,99.01,99.66
"Jul, 1986",97.49,98.21,98.53,99.05,99.52
"Aug, 1986",97.74,98.64,99.01,99.31,99.71
"Sep, 1986",97.91,98.79,99.07,99.49,99.87
"Oct, 1986",98.56,98.87,99.36,99.97,100.6
"Nov, 1986",96.78,97.5,97.91,98.56,99.81
"Dec, 1986",97.19,98.22,98.67,99.44,100.3
"Jan, 1987",96.2,98.57,99.08,99.52,100.05
"Feb, 1987",97.38,98.22,98.8,99.32,99.95
"Mar, 1987",97.27,97.94,98.54,98.95,99.21
"Apr, 1987",97.11,97.85,98.71,98.93,99.41
"May, 1987",97.19,98.05,98.31,98.69,99.23
"Jun, 1987",97.52,98.11,98.37,98.58,99.08
"Jul, 1987",97.58,98.5,98.86,99.09,99.43
"Aug, 1987",97.89,98.49,98.7,98.84,99.43
"Sep, 1987",97.92,98.75,99.13,99.52,100.14
"Oct, 1987",97.94,98.68,98.96,99.14,99.93
"Nov, 1987",96.58,98.63,99.01,99.38,100.26
"Dec, 1987",97.36,98.3,98.96,99.42,100.6
"Jan, 1988",97.19,98.08,98.42,99.15,100.15
"Feb, 1988",97.06,97.8,98.7,99.31,101.66
"Mar, 1988",97.25,97.94,98.56,99.35,100.88
"Apr, 1988",96.9,98.51,99.08,99.69,100.33
"May, 1988",97.57,98.25,98.44,98.76,99.76
"Jun, 1988",97.85,98.45,98.77,99.01,100.0
"Jul, 1988",97.34,98.41,98.72,99.0,99.55
"Aug, 1988",97.73,98.51,98.71,98.93,99.45
"Sep, 1988",98.05,98.64,99.09,99.38,100.17
"Oct, 1988",97.4,98.84,99.27,99.56,100.29
"Nov, 1988",98.14,98.72,99.04,99.56,100.1
"Dec, 1988",97.31,98.43,99.12,99.51,101.12
"Jan, 1989",97.83,98.7,99.22,99.9,101.03
"Feb, 1989",97.13,98.18,98.9,99.68,100.99
"Mar, 1989",95.89,98.15,98.69,99.15,99.57
"Apr, 1989",96.78,98.31,98.86,99.3,100.3
"May, 1989",97.34,98.31,98.48,98.92,100.05
"Jun, 1989",97.86,98.32,98.74,98.99,99.41
"Jul, 1989",97.32,98.26,98.76,99.0,99.5
"Aug, 1989",97.73,98.1,98.61,99.05,99.4
"Sep, 1989",98.15,98.52,99.05,99.45,100.1
"Oct, 1989",98.57,99.21,99.48,99.95,100.67
"Nov, 1989",96.69,97.87,98.7,99.68,99.94
"Dec, 1989",96.4,97.89,98.67,99.27,100.68
"Jan, 1990",95.04,97.83,98.42,99.3,99.84
"Feb, 1990",97.33,98.02,98.87,99.32,101.0
"Mar, 1990",96.15,98.14,98.82,99.47,100.45
"Apr, 1990",96.94,97.74,98.53,99.29,99.75
"May, 1990",97.28,97.97,98.4,98.82,99.81
"Jun, 1990",97.49,98.29,98.57,98.88,99.43
"Jul, 1990",97.7,98.25,98.47,98.65,99.04
"Aug, 1990",98.14,98.46,98.89,99.1,99.89
"Sep, 1990",98.41,99.0,99.11,99.35,99.74
"Oct, 1990",97.3,98.28,98.71,98.94,99.43
"Nov, 1990",97.56,98.6,99.16,99.61,100.45
"Dec, 1990",95.68,98.57,98.93,99.43,101.01
"Jan, 1991",96.96,97.98,98.69,99.57,100.27
"Feb, 1991",97.05,98.56,98.93,99.31,100.14
"Mar, 1991",96.56,97.82,98.43,99.36,99.92
"Apr, 1991",97.4,98.18,98.69,99.37,99.93
"May, 1991",97.38,97.88,98.28,98.87,100.31
"Jun, 1991",97.96,98.47,98.74,99.1,99.54
"Jul, 1991",97.71,98.24,98.74,99.01,99.5
"Aug, 1991",97.75,98.38,98.75,99.19,99.8
"Sep, 1991",98.18,99.12,99.31,99.57,100.28
"Oct, 1991",97.55,98.45,99.17,99.43,100.48
"Nov, 1991",97.91,98.77,99.41,99.68,100.51
"Dec, 1991",96.96,98.82,99.83,100.21,100.84
"Jan, 1992",96.97,98.31,98.66,99.14,100.87
"Feb, 1992",97.43,98.65,98.95,99.98,100.48
"Mar, 1992",96.25,98.17,98.57,99.01,100.33
"Apr, 1992",97.64,98.7,99.04,99.54,100.25
"May, 1992",97.25,98.15,98.43,98.71,99.29
"Jun, 1992",97.76,98.67,98.84,99.19,99.65
"Jul, 1992",97.83,98.15,98.66,99.17,99.77
"Aug, 1992",97.64,98.3,98.76,99.18,99.46
"Sep, 1992",97.9,98.82,99.06,99.38,99.9
"Oct, 1992",97.67,98.63,98.91,99.53,100.23
"Nov, 1992",97.25,98.17,98.86,99.5,100.95
"Dec, 1992",97.29,98.63,99.16,99.48,100.06
"Jan, 1993",97.82,98.71,98.98,99.6,100.13
"Feb, 1993",96.33,98.08,99.01,99.45,100.57
"Mar, 1993",96.82,97.47,97.83,98.73,99.74
"Apr, 1993",96.57,97.59,98.04,98.66,99.88
"May, 1993",97.54,98.15,98.74,99.14,100.2
"Jun, 1993",97.31,98.49,98.76,99.07,99.43
"Jul, 1993",97.82,98.4,98.72,99.07,99.59
"Aug, 1993",98.13,98.67,99.06,99.55,100.09
"Sep, 1993",96.82,98.7,98.99,99.44,100.65
"Oct, 1993",96.54,98.21,98.65,98.9,99.77
"Nov, 1993",97.5,98.49,99.05,99.46,100.43
"Dec, 1993",97.06,98.41,98.85,99.51,101.82
"Jan, 1994",97.4,98.42,98.85,99.28,100.39
"Feb, 1994",96.1,97.72,98.01,98.87,100.36
"Mar, 1994",97.22,98.59,98.89,99.33,100.17
"Apr, 1994",97.24,98.21,98.61,99.16,99.9
"May, 1994",97.38,98.06,98.64,98.92,99.66
"Jun, 1994",97.02,98.12,98.68,99.11,99.77
"Jul, 1994",97.36,98.33,98.66,99.17,99.5
"Aug, 1994",98.2,98.69,99.03,99.11,99.84
"Sep, 1994",97.67,98.86,99.04,99.62,100.36
"Oct, 1994",98.19,98.79,99.15,99.55,100.07
"Nov, 1994",97.81,98.78,99.05,99.37,100.36
"Dec, 1994",96.76,98.53,99.01,99.47,100.8
"Jan, 1995",97.26,98.24,99.06,99.65,100.89
"Feb, 1995",96.8,98.68,98.96,99.65,100.69
"Mar, 1995",96.49,97.91,98.35,98.72,99.88
"Apr, 1995",97.3,98.11,98.58,98.9,99.74
"May, 1995",97.22,98.46,98.93,99.19,99.67
"Jun, 1995",97.8,98.47,98.82,99.11,99.74
"Jul, 1995",97.69,98.27,98.71,99.11,99.54
"Aug, 1995",98.01,98.45,98.72,98.86,99.55
"Sep, 1995",97.72,98.54,99.04,99.48,100.34
"Oct, 1995",97.65,98.65,99.06,99.73,100.77
"Nov, 1995",97.0,98.17,98.76,99.31,99.89
"Dec, 1995",96.6,97.88,98.2,99.18,100.12
"Jan, 1996",97.59,98.27,98.68,99.19,100.13
"Feb, 1996",96.57,97.72,98.98,99.64,100.15
"Mar, 1996",96.64,97.82,98.24,98.71,99.82
"Apr, 1996",97.05,98.06,98.61,99.01,100.21
"May, 1996",97.7,97.97,98.23,98.53,99.37
"Jun, 1996",97.89,98.5,98.83,99.02,99.69
"Jul, 1996",97.78,98.46,98.59,98.86,99.32
"Aug, 1996",97.9,98.46,98.8,99.07,100.09
