Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Jan, 1986",97.81,99.04,99.37,100.01,101.41
"Feb, 1986",98.53,99.04,99.56,99.74,100.33
"Mar, 1986",97.59,99.04,99.39,100.15,101.19
"Apr, 1986",97.86,98.9,99.47,99.76,100.39
"May, 1986",98.46,99.16,99.54,99.71,100.43
"Jun, 1986",98.53,98.94,99.44,99.8,100.31
"Jul, 1986",98.7,99.18,99.45,99.69,100.25
"Aug, 1986",98.75,99.1,99.61,100.05,100.59
"Sep, 1986",98.37,99.42,99.84,100.11,100.79
"Oct, 1986",98.48,99.39,99.72,100.36,101.16
"Nov, 1986",98.91,99.54,99.88,100.38,101.17
"Dec, 1986",98.24,99.45,100.0,100.29,101.5
"Jan, 1987",97.67,98.88,99.26,99.73,100.63
"Feb, 1987",97.61,99.48,99.97,100.69,101.5
"Mar, 1987",97.76,99.38,99.81,100.54,101.16
"Apr, 1987",98.06,98.94,99.22,99.89,100.7
"May, 1987",98.87,99.43,99.76,99.94,100.8
"Jun, 1987",98.47,98.93,99.24,99.53,100.23
"Jul, 1987",98.72,99.26,99.48,99.71,100.23
"Aug, 1987",98.71,99.3,99.58,99.87,100.24
"Sep, 1987",98.37,99.14,99.4,99.66,100.58
"Oct, 1987",98.27,99.32,99.7,100.1,101.01
"Nov, 1987",97.87,99.11,99.78,100.42,101.12
"Dec, 1987",97.41,98.66,99.35,100.08,100.94
"Jan, 1988",98.0,99.18,100.0,100.43,101.43
"Feb, 1988",97.4,98.99,99.58,100.04,100.91
"Mar, 1988",98.09,99.07,99.56,99.99,101.17
"Apr, 1988",97.94,98.48,98.96,99.36,100.27
"May, 1988",98.61,99.36,99.53,99.7,100.15
"Jun, 1988",98.56,99.06,99.48,99.7,100.07
"Jul, 1988",98.83,99.28,99.49,99.72,100.34
"Aug, 1988",98.09,99.21,99.44,99.7,100.16
"Sep, 1988",98.07,99.33,99.7,100.06,100.77
"Oct, 1988",97.6,98.91,99.62,99.98,100.84
"Nov, 1988",97.03,98.64,99.14,99.96,100.73
"Dec, 1988",98.65,99.07,99.56,100.02,101.16
"Jan, 1989",97.93,99.14,99.51,100.14,101.27
"Feb, 1989",98.27,99.5,99.88,100.62,102.16
"Mar, 1989",98.22,99.6,99.88,100.6,101.59
"Apr, 1989",98.59,99.27,99.5,99.78,100.37
"May, 1989",98.57,98.94,99.31,99.58,100.38
"Jun, 1989",98.79,99.13,99.36,99.77,100.35
"Jul, 1989",98.79,99.45,99.64,99.86,100.44
"Aug, 1989",98.26,99.08,99.41,99.91,100.54
"Sep, 1989",98.47,99.6,99.93,100.2,101.1
"Oct, 1989",98.29,99.26,99.61,100.22,100.73
"Nov, 1989",96.86,98.69,99.1,99.64,100.09
"Dec, 1989",98.13,99.07,99.71,100.15,101.53
"Jan, 1990",97.34,98.66,99.29,99.86,100.72
"Feb, 1990",98.34,98.97,99.66,100.42,101.8
"Mar, 1990",98.18,99.46,100.07,100.62,102.33
"Apr, 1990",97.52,99.06,99.28,99.92,100.89
"May, 1990",97.57,98.94,99.24,99.77,100.82
"Jun, 1990",97.7,98.84,99.26,99.48,100.03
"Jul, 1990",98.55,99.26,99.6,99.82,100.55
"Aug, 1990",98.67,99.57,99.76,99.97,100.21
"Sep, 1990",98.41,99.01,99.61,99.9,100.61
"Oct, 1990",98.03,99.28,99.54,99.88,100.53
"Nov, 1990",98.0,98.96,99.64,100.16,100.55
"Dec, 1990",97.66,99.16,99.61,100.01,101.77
"Jan, 1991",98.35,99.0,99.62,100.48,101.72
"Feb, 1991",96.4,99.09,99.5,100.01,101.14
"Mar, 1991",97.35,98.4,99.32,99.76,100.63
"Apr, 1991",97.69,98.88,99.52,99.95,101.58
"May, 1991",98.6,99.26,99.53,100.14,100.92
"Jun, 1991",98.67,99.27,99.68,99.98,100.44
"Jul, 1991",98.83,99.1,99.33,99.52,100.34
"Aug, 1991",98.86,99.2,99.42,99.98,100.91
"Sep, 1991",98.23,99.46,99.86,100.32,100.81
"Oct, 1991",98.68,99.3,99.57,99.98,101.25
"Nov, 1991",98.56,99.29,99.68,100.22,101.06
"Dec, 1991",98.08,99.02,99.68,100.3,102.09
"Jan, 1992",97.0,98.84,99.28,99.97,101.06
"Feb, 1992",97.78,98.66,99.6,100.21,101.23
"Mar, 1992",97.63,99.02,99.18,99.84,100.38
"Apr, 1992",98.51,99.08,99.52,99.82,101.39
"May, 1992",98.22,99.41,99.84,100.16,100.78
"Jun, 1992",98.47,98.97,99.19,99.54,100.25
"Jul, 1992",98.76,98.96,99.17,99.55,100.29
"Aug, 1992",98.39,99.28,99.74,100.18,100.43
"Sep, 1992",98.68,99.4,99.97,100.3,101.07
"Oct, 1992",98.46,99.03,99.69,100.15,101.36
"Nov, 1992",98.04,99.09,99.66,100.36,101.14
"Dec, 1992",98.44,99.16,99.47,100.32,101.21
"Jan, 1993",97.61,99.32,100.02,100.57,101.41
"Feb, 1993",97.69,99.56,99.91,100.45,101.02
"Mar, 1993",98.27,99.16,99.65,100.38,101.78
"Apr, 1993",98.18,98.74,99.24,99.78,100.8
"May, 1993",98.18,98.97,99.36,99.96,100.31
"Jun, 1993",98.53,99.05,99.55,99.86,100.33
"Jul, 1993",98.54,99.13,99.38,99.68,99.89
"Aug, 1993",98.57,99.4,99.62,99.84,100.41
"Sep, 1993",98.34,99.23,99.6,99.92,100.52
"Oct, 1993",98.34,98.92,99.49,100.12,100.5
"Nov, 1993",97.91,99.34,99.74,100.36,101.48
"Dec, 1993",97.96,99.07,99.41,99.99,101.43
"Jan, 1994",97.95,99.4,99.99,100.66,101.71
"Feb, 1994",98.17,99.46,100.12,100.5,101.26
"Mar, 1994",97.8,98.62,99.26,99.77,100.77
"Apr, 1994",98.19,98.92,99.39,99.92,101.05
"May, 1994",98.29,98.94,99.39,99.74,100.53
"Jun, 1994",97.87,98.86,99.25,99.73,100.04
"Jul, 1994",98.73,99.24,99.43,99.76,100.18
"Aug, 1994",98.66,99.28,99.63,99.9,100.31
"Sep, 1994",98.17,99.32,99.62,99.96,100.75
"Oct, 1994",98.81,99.33,99.73,100.13,101.03
"Nov, 1994",97.75,99.25,99.54,100.34,100.95
"Dec, 1994",99.02,99.72,99.99,100.55,101.2
"Jan, 1995",97.34,98.91,99.39,99.84,100.82
"Feb, 1995",97.9,98.7,99.41,99.9,100.99
"Mar, 1995",97.63,99.46,100.0,100.44,101.05
"Apr, 1995",98.35,99.08,99.28,99.65,100.68
"May, 1995",98.08,98.76,99.43,99.68,100.45
"Jun, 1995",98.1,99.21,99.43,99.8,100.6
"Jul, 1995",98.61,99.1,99.25,99.43,100.14
"Aug, 1995",98.77,99.3,99.62,99.78,100.16
