Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,99.10538,98.70768000000001,100.1536,98.15952,98.04279,98.68941,98.22346,100.0669,99.69395,97.35302,98.55118,98.94681,99.09776,99.62895999999999,98.59524,97.64973,98.18005,97.40799,98.08185,98.87688
February,98.84625,99.95206999999999,97.41709,100.3615,99.73623,100.1057,98.65195,98.95657,98.06176,98.86321,97.24848,99.20366999999999,99.0266,98.42323,98.14904,98.35709,98.84148,99.0209,97.0114,0
March,96.84345,99.00986,97.58528000000001,97.58595,96.15289,98.47457,99.72851999999999,97.09735,98.55684000000001,99.06921,97.92485,99.01784,98.7133,99.39248,99.99548,98.96631,100.1118,97.88039,98.98748,0
April,98.74463,97.84817,99.83891,100.3031,97.88978,98.73226,98.82852,97.30216,98.56788,99.05079,97.6878,100.3603,98.63925,99.34257,97.26562,98.8701,98.54916,99.69405,99.72719,0
May,97.89384,98.13005,98.96901,98.95714,98.53564,98.12348,98.39185,99.1917,99.49446,98.54813,98.07583,96.8205,98.94915,99.05804,98.21053,98.83149,97.9026,98.4352,97.22421999999999,0
June,97.86506,99.02246,98.84498,99.18023000000001,98.57563,98.45913,99.26503000000001,98.89941999999999,99.18473,98.16339,98.41226999999999,98.78520999999999,99.13473,98.53933,98.27438,98.56716,98.81161,98.61143,98.88762,0
July,98.21974,99.09973000000001,98.99204,99.50119,98.59734,97.7673,99.08391,98.80199,98.42918,99.38189,98.5191,98.50525,98.24838,98.09979,98.42791,98.87239,97.93619,97.69455,99.3383,0
August,98.42318,98.00516,98.52195999999999,98.99338,99.88776999999999,98.23961,99.45514,99.75577,98.62544,98.55417,98.69074,98.63996,98.26504,98.67911,98.26959000000001,97.97631,98.63859000000001,98.84991,98.8182,0
September,99.09673000000001,98.65316,98.47180999999999,99.27941,98.6795,99.14473000000001,99.89768000000001,96.81907,99.0317,99.46848,98.4705,98.05593,99.63768,99.05507,98.69995,98.15222,99.39562,99.9353,99.69921,0
October,98.59946,99.76941,98.68712,98.87165999999999,99.4193,98.50336,99.6804,99.3244,99.42652,98.91646999999999,99.24988,98.12828,99.34901,99.36209000000001,99.75801,98.12591,98.70198,98.5294,98.81546,0
November,98.8682,98.95814,99.82433,99.9422,99.77835999999999,99.55216,100.1723,98.43018000000001,98.77751,98.26679,97.00766,97.39159000000001,98.64052,99.90116,98.64628,98.52535,98.72162,97.21291,99.61936999999999,0
December,99.07804,97.36076,98.19518000000001,97.93782,99.51405,98.53237,99.96992,99.9415,99.25366,99.17742,97.77091,99.70631,98.57864,98.4014,99.08794,98.05351999999999,98.60124,98.97384,99.37509,0
