Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,100.5,99.04,99.5,97.93,100.11,99.6,98.78,97.61,100.34,98.11,99.69,98.21,99.77,101.88,98.56,97.95,100.14,99.97,99.43,100.94
February,99.05,100.01,99.55,99.31,100.97,99.68,97.78,100.41,100.85,100.01,98.36,100.39,98.97,97.4,99.95,99.79,99.44,99.91,100.71,0
March,100.2,98.22,100.87,98.51,99.55,100.11,98.91,99.15,99.83,99.31,99.42,99.33,98.52,99.53,99.88,99.13,99.46,99.55,99.25,0
April,99.56,98.93,99.47,99.67,99.19,98.88,99.17,99.51,99.97,99.68,97.94,98.37,99.45,100.58,100.12,100.37,98.69,99.75,99.63,0
May,98.76,99.25,99.53,99.29,99.83,98.64,99.49,98.19,98.96,99.6,100.22,99.65,98.04,99.54,99.53,99.78,98.11,98.36,98.28,0
June,99.48,99.4,99.08,100.26,99.04,99.24,99.18,99.81,98.78,99.08,98.83,99.47,97.95,99.48,99.31,99.12,99.95,99.97,99.85,0
July,99.27,99.75,99.49,99.89,99.43,99.49,99.21,99.38,100.02,99.87,99.24,100.39,100.1,98.54,99.51,100.27,99.32,99.8,99.07,0
August,100.57,99.25,100.09,99.41,100.01,99.66,99.39,99.15,99.2,98.77,99.9,99.59,99.51,100.49,99.82,98.8,100.82,100.47,99.95,0
September,99.16,98.37,100.09,100.26,99.44,100.4,100.32,100.42,99.42,100.02,100.58,97.59,98.86,98.7,99.98,100.39,99.73,99.85,99.68,0
October,101.1,101.01,100.03,99.06,100.3,100.17,100.3,98.87,99.34,100.42,98.78,99.05,99.78,100.01,100.47,100.34,99.64,99.58,98.74,0
November,101.17,97.87,98.83,99.06,100.32,98.95,98.95,101.48,99.97,99.35,99.37,98.43,98.77,101.6,99.86,98.99,97.34,98.44,99.87,0
December,100.23,99.25,99.84,98.13,100.68,101.42,99.16,99.7,99.97,99.37,100.72,99.57,99.33,99.66,99.22,99.2,99.0,99.69,99.28,0
