Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,0.73,0.84,0.71,0.91,1.09,0.93,0.9,0.59,0.79,1.03,0.68,0.9,1.02,0.94,0.76,0.79,0.82,0.95,0.66,
February,0.59,0.7,1.12,0.96,0.92,0.71,0.83,1.08,0.95,0.84,1.15,0.73,0.93,0.69,0.66,0.71,0.96,0.54,0.86,0
March,1.02,0.58,0.94,0.82,1.04,0.96,0.96,0.76,0.69,0.67,0.77,0.77,0.97,0.96,0.82,0.68,0.5,0.71,0.91,0
April,0.79,0.7,0.8,0.88,0.88,0.73,0.68,0.8,0.71,0.61,0.69,0.69,0.56,0.58,0.78,0.45,0.86,0.77,0.83,0
May,0.46,0.55,0.54,0.61,0.64,0.75,0.48,0.71,0.58,0.64,0.42,0.75,0.57,0.65,0.45,0.53,0.48,0.59,0.79,0
June,0.64,0.37,0.52,0.42,0.48,0.44,0.43,0.48,0.72,0.47,0.47,0.63,0.54,0.38,0.5,0.63,0.4,0.44,0.53,0
July,0.55,0.48,0.55,0.54,0.34,0.51,0.62,0.48,0.58,0.53,0.39,0.44,0.43,0.43,0.3,0.57,0.46,0.51,0.45,0
August,0.48,0.35,0.38,0.54,0.44,0.56,0.52,0.55,0.4,0.34,0.52,0.36,0.42,0.36,0.52,0.47,0.45,0.31,0.32,0
September,0.51,0.54,0.49,0.58,0.35,0.44,0.48,0.79,0.65,0.64,0.55,0.53,0.58,0.56,0.77,0.61,0.61,0.6,0.54,0
October,0.63,0.5,0.74,0.53,0.55,0.75,0.61,0.79,0.52,0.82,0.54,0.8,0.62,0.64,0.78,0.57,0.85,0.66,0.63,0
November,0.79,0.82,0.53,0.94,0.72,0.63,0.94,0.7,0.58,0.8,0.9,0.75,0.77,0.63,0.65,0.55,0.64,0.77,0.86,0
December,0.81,0.8,0.83,1.08,0.96,0.99,0.68,1.12,0.86,0.83,0.97,1.0,0.98,1.14,0.77,0.84,1.06,0.71,0.62,0
Annual,0.79,0.66,0.73,0.81,0.78,0.78,0.73,0.82,0.72,0.74,0.73,0.74,0.76,0.74,0.7,0.71,0.78,0.74,0.74,
