Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,0.96,0.79,0.82,0.76,0.79,0.96,0.93,0.93,0.91,0.8,0.87,1.09,0.63,0.88,1.0,0.79,0.59,0.86,0.74,
February,0.52,0.96,0.91,0.97,0.95,0.95,0.87,0.81,0.71,0.82,0.9,0.81,0.68,0.81,0.59,0.71,0.74,0.96,0.92,0
March,0.84,0.9,0.78,0.87,0.9,0.93,0.67,0.86,0.82,0.88,1.04,0.81,0.92,0.94,0.97,0.74,0.63,0.48,0.64,0
April,0.76,0.61,0.61,0.41,0.73,0.9,0.68,0.69,0.72,0.48,0.64,0.73,0.61,0.69,0.73,0.65,0.65,0.67,0.57,0
May,0.48,0.46,0.39,0.48,0.66,0.67,0.61,0.66,0.55,0.65,0.66,0.81,0.44,0.68,0.65,0.57,0.72,0.8,0.59,0
June,0.51,0.49,0.41,0.4,0.54,0.46,0.41,0.5,0.58,0.51,0.42,0.5,0.62,0.61,0.48,0.58,0.75,0.38,0.43,0
July,0.39,0.35,0.34,0.37,0.45,0.42,0.42,0.36,0.39,0.34,0.51,0.58,0.36,0.49,0.44,0.49,0.41,0.44,0.59,0
August,0.53,0.43,0.45,0.56,0.35,0.53,0.54,0.38,0.46,0.35,0.28,0.47,0.55,0.46,0.42,0.38,0.47,0.47,0.39,0
September,0.62,0.49,0.69,0.61,0.62,0.61,0.62,0.59,0.64,0.48,0.57,0.72,0.42,0.47,0.63,0.52,0.5,0.6,0.4,0
October,0.74,0.71,0.84,0.68,0.54,0.64,0.7,0.66,0.65,0.73,0.84,0.58,0.5,0.71,0.56,0.91,0.57,0.65,0.93,0
November,0.58,0.84,0.94,0.78,0.73,0.6,0.82,0.84,0.8,0.71,0.95,0.71,0.55,0.78,0.68,0.54,0.79,0.92,0.99,0
December,0.71,0.95,0.67,0.83,0.84,0.95,0.73,0.79,0.61,0.69,0.79,0.69,0.62,0.78,0.88,0.85,0.89,0.81,0.9,0
Annual,0.68,0.72,0.71,0.71,0.73,0.76,0.71,0.71,0.72,0.67,0.77,0.74,0.64,0.71,0.72,0.67,0.67,0.7,0.73,
