Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,0.54,0.71,0.5,0.83,1.18,0.86,0.82,0.35,0.63,1.06,0.46,0.81,1.05,0.89,0.58,0.62,0.68,0.91,0.44,
February,0.35,0.49,1.26,0.91,0.85,0.51,0.69,1.17,0.9,0.71,1.32,0.54,0.87,0.48,0.43,0.5,0.91,0.29,0.73,0
March,1.04,0.33,0.88,0.67,1.08,0.92,0.93,0.58,0.47,0.45,0.59,0.59,0.94,0.91,0.67,0.46,0.25,0.5,0.83,0
April,0.62,0.49,0.64,0.77,0.78,0.53,0.46,0.63,0.5,0.37,0.47,0.47,0.32,0.33,0.61,0.21,0.75,0.6,0.69,0
May,0.21,0.3,0.29,0.38,0.4,0.56,0.23,0.51,0.34,0.41,0.18,0.57,0.33,0.43,0.2,0.28,0.23,0.35,0.63,0
June,0.41,0.13,0.27,0.18,0.23,0.19,0.18,0.23,0.52,0.22,0.22,0.4,0.29,0.14,0.25,0.4,0.16,0.19,0.28,0
July,0.3,0.23,0.3,0.29,0.12,0.26,0.38,0.23,0.34,0.28,0.15,0.19,0.18,0.19,0.09,0.33,0.21,0.26,0.2,0
August,0.23,0.12,0.14,0.29,0.2,0.31,0.27,0.3,0.16,0.12,0.27,0.13,0.18,0.13,0.27,0.22,0.2,0.09,0.1,0
September,0.26,0.29,0.24,0.33,0.12,0.2,0.23,0.63,0.42,0.41,0.3,0.28,0.34,0.31,0.6,0.38,0.37,0.36,0.29,0
October,0.4,0.25,0.55,0.28,0.31,0.56,0.37,0.62,0.27,0.68,0.29,0.64,0.38,0.41,0.61,0.33,0.73,0.43,0.4,0
November,0.63,0.67,0.28,0.89,0.51,0.4,0.88,0.5,0.33,0.64,0.8,0.57,0.6,0.4,0.42,0.3,0.41,0.59,0.74,0
December,0.65,0.64,0.69,1.16,0.92,0.97,0.46,1.26,0.74,0.68,0.94,1.0,0.96,1.29,0.59,0.7,1.12,0.51,0.39,0
December,0.62,0.44,0.53,0.66,0.6,0.61,0.53,0.67,0.52,0.55,0.53,0.55,0.58,0.55,0.49,0.5,0.61,0.55,0.55,
Annual,,,,,,,,,,,,,,,,,,,,
