Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,0.93,0.63,0.68,0.57,0.63,0.92,0.87,0.87,0.83,0.65,0.75,1.19,0.4,0.78,1.0,0.62,0.35,0.75,0.55,
February,0.27,0.92,0.82,0.94,0.9,0.89,0.76,0.66,0.51,0.68,0.82,0.66,0.47,0.66,0.34,0.51,0.54,0.91,0.85,0
March,0.7,0.81,0.62,0.76,0.81,0.86,0.45,0.74,0.68,0.78,1.08,0.66,0.84,0.89,0.94,0.55,0.39,0.23,0.41,0
April,0.58,0.37,0.37,0.17,0.53,0.81,0.47,0.48,0.52,0.23,0.4,0.54,0.37,0.47,0.53,0.42,0.42,0.45,0.33,0
May,0.23,0.21,0.15,0.23,0.43,0.45,0.38,0.44,0.3,0.42,0.43,0.66,0.2,0.47,0.43,0.33,0.52,0.64,0.35,0
June,0.26,0.24,0.17,0.16,0.29,0.21,0.17,0.25,0.33,0.26,0.18,0.25,0.39,0.37,0.23,0.33,0.57,0.14,0.19,0
July,0.15,0.12,0.12,0.14,0.21,0.18,0.18,0.13,0.15,0.11,0.26,0.34,0.13,0.24,0.19,0.24,0.17,0.2,0.35,0
August,0.28,0.19,0.2,0.32,0.12,0.28,0.3,0.15,0.21,0.12,0.08,0.22,0.3,0.21,0.18,0.14,0.23,0.22,0.15,0
September,0.39,0.24,0.48,0.37,0.38,0.37,0.39,0.34,0.41,0.23,0.32,0.52,0.17,0.22,0.39,0.27,0.25,0.36,0.16,0
October,0.55,0.5,0.71,0.47,0.29,0.41,0.49,0.44,0.42,0.53,0.71,0.33,0.25,0.5,0.31,0.83,0.33,0.43,0.87,0
November,0.34,0.71,0.88,0.62,0.53,0.36,0.67,0.7,0.64,0.51,0.9,0.5,0.3,0.62,0.46,0.29,0.62,0.85,0.97,0
December,0.5,0.9,0.46,0.69,0.71,0.9,0.53,0.62,0.38,0.48,0.62,0.47,0.39,0.61,0.77,0.72,0.79,0.65,0.81,0
December,0.46,0.51,0.5,0.51,0.53,0.58,0.5,0.5,0.52,0.44,0.59,0.55,0.4,0.5,0.52,0.45,0.46,0.49,0.53,
Annual,,,,,,,,,,,,,,,,,,,,
