Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,1.09,1.74,1.08,3.13,0.82,3.2,1.16,1.26,2.18,1.45,0.85,2.98,2.64,0.63,1.25,1.29,1.27,0.94,1.94,0.01
February,1.24,0.94,4.18,2.71,0.84,1.57,1.36,1.19,1.18,3.55,1.74,1.75,1.62,2.93,1.66,2.33,1.0,0.67,0.79,0
March,3.53,2.49,2.29,2.71,1.33,3.26,2.96,1.48,1.44,2.32,3.59,2.29,1.99,3.94,1.1,2.01,1.55,2.11,3.66,0
April,3.69,2.65,0.88,0.79,3.26,2.78,1.41,3.9,3.86,3.47,4.86,3.42,1.94,0.81,4.14,2.2,4.55,0.64,3.1,0
May,1.83,2.2,2.56,4.39,2.9,2.76,2.67,2.27,3.14,1.81,4.18,3.32,1.83,2.45,5.12,3.28,4.42,3.38,2.14,0
June,1.9,5.05,3.12,9.29,4.01,2.63,1.54,4.34,1.76,3.22,2.21,4.48,5.73,1.59,1.87,3.96,6.61,2.16,2.91,0
July,3.92,0.37,2.13,3.02,3.13,5.46,2.53,2.07,3.85,5.69,3.14,3.99,2.97,3.96,1.44,2.74,2.13,3.2,2.02,0
August,2.72,1.61,2.0,6.24,2.15,1.56,3.14,1.09,2.02,3.38,4.1,2.23,1.67,1.26,1.4,1.37,2.15,2.1,2.15,0
September,1.06,2.19,0.59,0.88,1.23,1.2,6.37,1.81,0.56,1.71,2.5,1.52,0.31,2.29,3.1,2.47,0.99,1.76,1.61,0
October,0.93,2.15,4.23,0.62,0.63,0.4,1.47,2.13,3.47,1.96,3.84,1.49,1.6,0.62,0.3,0.42,0.51,0.91,0.54,0
November,1.11,2.18,1.57,1.4,2.12,1.7,0.87,2.29,1.43,2.13,1.97,2.25,0.79,0.5,2.65,0.32,1.4,2.87,2.92,0
December,2.35,3.07,1.57,1.36,0.52,2.97,2.37,2.65,2.42,2.93,0.77,2.05,2.23,1.23,2.21,2.51,2.62,2.46,1.33,0
Annual,2.12,2.22,2.17,3.05,1.91,2.47,2.33,2.2,2.29,2.8,2.82,2.65,2.11,1.85,2.18,2.07,2.44,1.94,2.1,0.01
