Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,0.85,1.83,0.69,0.84,1.18,1.08,1.2,2.2,1.97,4.3,2.34,2.08,3.14,3.45,0.94,1.01,1.49,1.14,1.6,0.0
February,1.14,0.53,2.31,0.68,2.75,0.84,1.25,0.92,0.72,0.74,1.36,2.81,1.64,0.98,1.73,3.36,1.37,1.67,0.74,0
March,1.57,1.43,0.76,1.2,0.93,3.16,0.7,0.95,1.65,1.64,1.17,2.25,3.17,0.75,0.61,1.01,1.98,1.61,2.05,0
April,1.8,1.66,1.84,1.37,1.77,3.85,4.46,2.55,3.2,2.55,3.39,0.97,1.91,1.63,2.64,1.21,3.44,2.03,2.14,0
May,2.43,0.95,1.28,2.55,2.79,2.7,2.25,1.65,2.54,2.81,2.92,2.11,2.32,1.26,4.01,2.97,2.6,4.93,3.19,0
June,2.25,2.28,0.83,3.16,2.31,0.81,1.24,4.66,1.81,1.74,3.93,1.69,2.68,2.21,5.64,2.06,1.99,2.13,2.09,0
July,3.95,3.49,3.54,2.27,2.21,2.94,4.34,2.84,2.68,1.79,3.14,0.97,1.46,1.43,1.09,1.1,1.9,2.14,3.86,0
August,4.72,1.69,1.2,1.28,3.63,2.95,4.98,1.27,1.94,4.37,1.55,2.32,0.86,1.9,1.23,1.12,0.37,1.72,1.94,0
September,7.08,3.6,2.35,1.47,1.43,1.74,3.28,1.88,1.71,0.92,5.54,1.6,1.28,2.67,2.33,1.68,1.97,3.81,0.84,0
October,1.77,1.55,2.17,2.46,2.83,1.49,2.13,2.49,0.88,4.25,2.45,1.14,0.77,1.99,0.57,3.51,1.39,1.59,1.14,0
November,1.48,2.78,1.94,2.62,1.32,1.88,3.57,2.0,2.83,4.05,0.99,1.83,1.12,2.61,1.85,2.5,2.24,4.71,2.16,0
December,2.17,1.53,1.02,0.77,3.64,1.44,2.15,0.89,1.66,1.15,3.07,0.97,2.03,0.85,2.3,1.31,1.05,1.99,2.92,0
Annual,2.61,1.95,1.65,1.72,2.23,2.08,2.63,2.03,1.97,2.54,2.66,1.72,1.87,1.81,2.07,1.89,1.81,2.45,2.07,0.0
