Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Jan, 1986",0.0,0.0,0.0,0.21,12.34
"Feb, 1986",0.0,0.03,0.24,1.12,9.16
"Mar, 1986",0.0,0.01,0.32,4.85,25.02
"Apr, 1986",0.0,0.07,0.48,7.34,22.91
"May, 1986",0.0,0.03,0.25,2.47,9.95
"Jun, 1986",0.0,0.01,0.03,0.87,28.63
"Jul, 1986",0.0,0.14,0.62,3.37,62.78
"Aug, 1986",0.0,0.0,0.08,1.65,37.56
"Sep, 1986",0.0,0.01,0.06,0.44,17.12
"Oct, 1986",0.0,0.0,0.0,0.03,20.96
"Nov, 1986",0.0,0.02,0.25,1.31,6.35
"Dec, 1986",0.0,0.0,0.08,1.03,17.26
"Jan, 1987",0.0,0.0,0.0,0.86,14.5
"Feb, 1987",0.0,0.0,0.0,0.32,16.68
"Mar, 1987",0.0,0.01,0.12,1.29,23.67
"Apr, 1987",0.0,0.03,0.2,0.73,37.75
"May, 1987",0.0,0.01,0.05,2.53,12.24
"Jun, 1987",0.0,0.06,0.9,3.1,64.73
"Jul, 1987",0.0,0.02,0.06,0.34,2.82
"Aug, 1987",0.0,0.02,0.4,1.93,9.97
"Sep, 1987",0.0,0.05,0.44,2.33,15.06
"Oct, 1987",0.0,0.02,0.08,0.32,38.25
"Nov, 1987",0.0,0.01,0.13,1.42,23.18
"Dec, 1987",0.0,0.0,0.07,2.14,42.95
"Jan, 1988",0.0,0.0,0.07,0.51,7.72
"Feb, 1988",0.0,0.0,0.98,6.78,25.16
"Mar, 1988",0.0,0.0,0.18,2.64,21.59
"Apr, 1988",0.0,0.0,0.02,0.25,8.99
"May, 1988",0.0,0.01,0.11,2.56,27.53
"Jun, 1988",0.0,0.07,0.86,5.69,17.52
"Jul, 1988",0.0,0.11,1.6,3.82,8.67
"Aug, 1988",0.0,0.02,0.27,2.76,11.95
"Sep, 1988",0.0,0.0,0.02,0.32,4.86
"Oct, 1988",0.0,0.08,0.27,3.68,34.74
"Nov, 1988",0.0,0.08,0.32,1.75,12.5
"Dec, 1988",0.0,0.0,0.05,0.79,13.02
"Jan, 1989",0.0,0.0,0.13,3.26,27.05
"Feb, 1989",0.0,0.01,0.24,3.88,11.89
"Mar, 1989",0.0,0.0,0.02,1.33,21.28
"Apr, 1989",0.0,0.0,0.02,0.29,12.17
"May, 1989",0.0,0.04,0.22,7.52,24.74
"Jun, 1989",0.0,0.07,0.28,7.09,81.49
