Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Jan, 1986",0.0,0.0,0.0,0.8,12.4
"Feb, 1986",0.0,0.0,0.0,0.65,9.4
"Mar, 1986",0.0,0.0,0.0,1.9,10.3
"Apr, 1986",0.0,0.0,0.0,0.75,16.6
"May, 1986",0.0,0.0,0.0,1.2,22.0
"Jun, 1986",0.0,0.0,0.0,4.1,13.9
"Jul, 1986",0.0,0.0,0.0,3.0,54.5
"Aug, 1986",0.0,0.0,0.0,0.4,71.6
"Sep, 1986",0.0,0.0,0.0,7.95,63.1
"Oct, 1986",0.0,0.0,0.2,1.1,11.8
"Nov, 1986",0.0,0.0,0.0,0.38,14.8
"Dec, 1986",0.0,0.0,0.0,1.05,17.2
"Jan, 1987",0.0,0.0,0.0,0.3,13.8
"Feb, 1987",0.0,0.0,0.0,0.0,6.0
"Mar, 1987",0.0,0.0,0.0,0.1,15.4
"Apr, 1987",0.0,0.0,0.0,2.05,12.2
"May, 1987",0.0,0.0,0.0,0.6,7.2
"Jun, 1987",0.0,0.0,0.0,1.95,40.2
"Jul, 1987",0.0,0.0,0.0,4.6,29.4
"Aug, 1987",0.0,0.0,0.0,0.2,17.8
"Sep, 1987",0.0,0.0,0.0,4.05,36.0
"Oct, 1987",0.0,0.0,0.0,1.0,10.6
"Nov, 1987",0.0,0.0,0.0,0.35,46.0
"Dec, 1987",0.0,0.0,0.0,1.1,12.8
"Jan, 1988",0.0,0.0,0.0,0.3,7.4
"Feb, 1988",0.0,0.0,0.2,4.1,13.0
"Mar, 1988",0.0,0.0,0.0,0.6,10.6
"Apr, 1988",0.0,0.0,0.0,2.2,18.2
"May, 1988",0.0,0.0,0.0,0.4,22.4
"Jun, 1988",0.0,0.0,0.0,0.3,12.2
"Jul, 1988",0.0,0.0,0.0,5.2,30.8
"Aug, 1988",0.0,0.0,0.0,0.6,8.8
"Sep, 1988",0.0,0.0,0.0,1.75,28.0
"Oct, 1988",0.0,0.0,0.2,2.0,15.6
"Nov, 1988",0.0,0.0,0.0,0.68,14.6
"Dec, 1988",0.0,0.0,0.0,0.5,13.2
"Jan, 1989",0.0,0.0,0.0,0.9,8.3
"Feb, 1989",0.0,0.0,0.0,0.5,5.2
"Mar, 1989",0.0,0.0,0.0,0.6,18.0
"Apr, 1989",0.0,0.0,0.0,1.8,8.8
"May, 1989",0.0,0.0,0.2,4.45,19.4
"Jun, 1989",0.0,0.0,0.0,4.05,20.5
"Jul, 1989",0.0,0.0,0.0,0.0,21.8
"Aug, 1989",0.0,0.0,0.0,0.3,14.6
