Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,0.65232,0.00595296,0.0,0.11664000000000001,0.597024,0.00205632,0.00362016,0.005840639999999999,0.0,0.0,0.0,6.90336,0.00192672,4.04352,0.000853632,0.0,0.0,0.0404352,2.7648,0.0106272
February,8.48448,0.0,6.618239999999999,0.042681599999999986,0.36288,0.0,0.022118400000000003,0.0,0.0,5.14944,0.0624672,0.0857088,0.00177984,0.014256,15.4170432,0.0,1.06272,0.04691519999999999,0.0432864,0
March,0.00438048,0.209088,0.6713279999999999,21.283344,4.19904,0.20736,0.0,7.53408,0.720576,0.0082944,18.303580800000002,0.0,6.09984,0.052358400000000006,0.048988800000000006,0.0,0.68688,4.5360000000000005,0.0,0
April,0.08035199999999999,0.311904,0.0,0.0,0.120096,22.6723104,2.0649599999999997,10.822032,0.0614304,0.5503680000000001,4.95072,0.0,0.020390400000000003,0.039657599999999994,0.5339520000000001,3.3782400000000004,0.06920639999999999,3.7756800000000013,0.0292032,0
May,9.9537984,6.2208000000000006,2.8598400000000006,0.0133056,5.0544,1.5983999999999998,1.1923200000000005,2.0736,0.0,1.7884799999999998,0.693792,6.212160000000001,0.017712000000000002,0.0438912,0.733536,6.76512,1.08,1.7539200000000001,0.748224,0
June,0.0222912,0.0,0.160704,0.0,1.01088,3.3004800000000003,0.102816,5.36544,0.688608,0.009590399999999999,4.07808,7.732800000000001,0.0,7.9488,4.838400000000001,29.739312,2.6524799999999997,0.24451199999999998,5.5555200000000005,0
July,0.169344,0.6756479999999999,1.5983999999999998,0.0633312,0.07162560000000001,4.68288,0.00331776,0.08233919999999999,6.168960000000001,0.00457056,0.0,0.24624000000000001,8.936179199999998,0.05330880000000001,0.042422400000000006,0.50976,0.043113599999999995,0.0851904,0.10022400000000001,0
August,37.5565248,0.0,1.6416000000000002,0.29375999999999997,5.72832,9.958809599999999,0.0,0.013910400000000005,0.133056,0.0,1.28736,0.412992,0.0,0.084672,3.127680000000001,0.61344,0.0387936,2.94624,0.0533952,0
September,0.008899200000000001,15.056064,0.12528,4.7001599999999994,0.06177600000000001,0.0,0.0536544,12.3826752,0.00732672,0.0149472,0.444096,4.795200000000001,0.13392,0.057801600000000015,0.0287712,0.584928,0.00260064,0.04691519999999999,0.0,0
October,20.9570976,0.033696000000000004,0.0187488,2.5488,0.092448,0.0030239999999999998,0.0530496,5.42592,0.00430272,1.28736,0.030067200000000002,0.020390400000000003,0.08424,0.0,0.144288,0.309312,0.00405216,0.10368,0.752544,0
November,0.00519264,0.011491200000000002,2.40192,0.434592,0.0564192,1.37376,0.0,0.0274752,1.1404800000000002,0.00235872,2.5056,0.098496,0.00571968,0.0,3.24864,0.0109728,0.94176,3.1104000000000003,0.0213408,0
December,0.0,8.7077376,0.24624000000000001,7.274880000000001,0.22118400000000002,0.0781056,0.10022400000000001,0.0,0.0,1.49472,7.629119999999999,0.0260928,0.0,0.0,0.186624,0.1944,0.178848,3.6115199999999996,0.0,0
