Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.6,17.6,0.0,0.0,0.0
February,0.4,2.2,0.2,0.0,0.0,1.2,0.4,0.0,0.0,0.0,0.4,0.0,2.6,12.2,0.0,0.0,0.0,0.0,0.0,0
March,0.0,10.4,0.0,0.0,0.0,0.4,3.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,2.6,0
April,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,9.6,0.0,10.4,0.2,0.0,0.0,0.0,0.0,5.4,1.2,3.0,0
May,1.2,2.6,0.0,5.8,0.0,0.0,4.2,15.6,12.0,0.0,0.0,0.0,3.6,1.0,1.2,0.0,5.8,20.2,4.8,0
June,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.2,10.2,0.0,0.0,26.0,0.0,0.0,3.2,0.0,0.0,0.0,0
July,3.2,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.6,0.0,0.0,0.0,13.4,0
August,0.0,5.4,0.0,0.2,0.0,0.0,0.2,1.2,5.8,1.2,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0
September,4.2,0.2,0.0,0.0,11.9,0.0,0.0,0.6,0.0,0.0,0.0,1.8,8.0,2.8,0.0,0.0,0.0,0.0,0.0,0
October,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.4,1.2,1.2,0.0,3.0,0.0,0.2,0.0,1.2,0.8,0.0,0.0,0
November,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.2,1.6,5.0,1.0,0.0,0.0,16.6,1.4,0.0,4.4,0
December,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,7.4,0.2,10.8,0.0,0.0,0.0,0.0,0.0,0.6,0.0,6.6,0
