Month,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
January,5.25,16.21,2.64,2.9,3.2,6.28,13.87,17.63,17.2,96.32,20.19,10.36,26.41,18.35,3.49,6.92,12.48,4.99,8.53,
February,6.17,2.26,12.19,1.99,48.15,4.35,11.76,6.09,3.53,3.82,6.09,29.05,28.23,5.99,7.12,74.4,8.54,13.56,3.1,0
March,7.67,15.72,4.23,11.69,5.02,59.98,2.24,3.07,11.88,21.52,8.62,23.3,30.7,6.96,1.28,6.75,11.07,9.68,14.28,0
April,17.42,10.1,14.72,5.46,19.61,58.26,146.72,26.4,22.81,48.06,24.05,4.51,24.47,17.23,54.35,6.34,37.82,24.37,9.83,0
May,31.04,4.17,18.02,20.36,26.86,35.06,61.34,11.5,27.75,51.06,45.58,21.11,39.44,11.03,129.09,44.35,25.53,58.45,34.89,0
June,14.04,54.12,5.72,28.58,15.04,8.28,7.6,86.53,35.28,24.8,27.21,9.48,32.27,23.61,125.97,15.57,13.54,24.9,33.5,0
July,106.07,54.09,52.94,38.57,18.53,49.23,63.71,69.8,44.08,15.19,47.95,5.2,12.29,16.98,6.33,5.18,12.07,26.02,56.25,0
August,243.13,20.71,5.88,10.75,56.83,64.61,109.59,12.03,30.51,109.21,7.88,32.01,6.82,39.65,9.84,11.27,0.9,30.2,21.75,0
September,233.95,55.83,36.13,25.7,11.17,20.69,49.65,11.31,12.49,3.62,175.44,11.91,16.7,76.44,27.67,13.03,33.3,84.92,10.47,0
October,11.42,8.98,16.91,20.67,34.94,5.92,18.38,45.69,9.4,149.2,27.48,15.3,9.65,44.0,1.25,57.05,6.58,13.71,9.01,0
November,15.13,80.9,18.44,25.94,21.41,15.36,59.9,61.63,36.26,56.13,9.79,20.37,10.33,95.61,24.12,32.47,29.17,56.53,20.64,0
December,22.19,11.0,7.03,1.91,58.34,7.57,27.75,4.09,9.12,14.95,28.72,3.72,37.27,2.0,11.28,8.13,4.37,16.35,22.34,0
December,60.92,27.76,16.43,16.43,26.51,28.27,48.32,29.79,21.63,50.34,36.22,15.33,22.81,29.49,34.47,23.23,16.28,30.84,20.73,
Annual,,,,,,,,,,,,,,,,,,,,
