date,max_temperature_normal,max_temperature_observed,min_temperature_normal,min_temperature_observed,max_relative_humidity_normal,max_relative_humidity_observed,min_relative_humidity_normal,min_relative_humidity_observed,max_wind_speed_normal,max_wind_speed_observed,min_wind_speed_normal,min_wind_speed_observed,precipitation_normal,precipitation_observed,rain_normal,rain_observed,snow_normal,snow_observed,snow_on_ground_normal,snow_on_ground_observed
1990-01-01,-1.72,-0.4,-9.76,-5.2,90.83,82,69.17,62,29.5,37,5.4,15,1.57,0.0,0.72,0.0,0.94,0.0,6.1,7.0
1990-01-02,-1.97,0.7,-10.02,-4.5,90.53,82,68.83,63,29.64,41,5.56,0,1.39,0.0,0.57,0.0,0.93,0.0,6.2,7.0
1990-01-03,-2.13,4.7,-10.23,-4.5,90.38,91,68.54,63,29.67,24,5.62,9,1.42,0.0,0.56,0.0,0.97,0.0,6.3,7.0
1990-01-04,-2.27,5.3,-10.46,-0.8,90.16,95,67.97,71,30.04,31,5.78,9,1.36,3.8,0.52,3.8,0.94,0.0,6.3,4.0
1990-01-05,-2.44,0.0,-10.75,-5.5,90.04,87,67.54,60,30.26,22,5.84,7,1.28,0.0,0.54,0.0,0.87,0.0,6.4,0.0
1990-01-06,-2.49,0.0,-10.91,-8.7,89.95,93,67.36,62,30.34,37,5.82,0,1.34,0.0,0.54,0.0,0.98,0.0,6.4,0.0
1990-01-07,-2.57,3.3,-11.02,-7.7,90.02,92,67.1,69,30.5,33,5.88,6,1.43,0.0,0.6,0.0,1.01,0.0,6.5,0.0
1990-01-08,-2.8,3.9,-11.31,-4.2,89.86,94,66.76,72,30.88,20,5.98,0,1.4,0.0,0.56,0.0,1.03,0.0,6.7,0.0
1990-01-09,-2.96,3.9,-11.6,0.7,89.64,96,66.54,73,31.07,24,5.94,9,1.3,4.6,0.52,4.6,0.98,0.0,6.9,0.0
1990-01-10,-3.1,2.2,-11.72,-2.3,89.54,95,66.2,76,31.26,26,6.05,7,1.3,4.8,0.54,4.6,0.96,0.2,7.1,0.0
1990-01-11,-3.2,4.5,-11.91,-2.6,89.64,98,66.2,71,31.19,37,6.15,17,1.33,2.2,0.55,0.0,0.97,2.2,7.2,0.0
1990-01-12,-3.26,-1.7,-12.0,-9.2,89.65,81,66.29,64,31.06,41,6.08,19,1.38,0.2,0.56,0.0,1.01,0.2,7.3,2.0
1990-01-13,-3.3,-4.4,-12.13,-13.1,89.77,86,66.4,63,31.34,35,6.19,4,1.48,0.0,0.58,0.0,1.09,0.0,7.5,1.0
1990-01-14,-3.39,-1.3,-12.31,-6.1,89.61,89,66.29,68,31.38,37,6.23,4,1.46,0.2,0.57,0.0,1.08,0.2,7.7,1.0
1990-01-15,-3.31,5.6,-12.27,-4.3,89.53,95,66.36,63,31.21,19,6.13,0,1.41,0.0,0.58,0.0,1.03,0.0,7.9,1.0
1990-01-16,-3.09,5.1,-12.08,-0.8,89.67,100,66.34,77,31.25,15,6.2,0,1.46,0.0,0.53,0.0,1.15,0.0,8.1,0.0
1990-01-17,-2.97,9.4,-11.85,1.4,89.83,100,66.65,91,31.0,28,6.11,0,1.54,4.2,0.59,4.2,1.15,0.0,8.3,0.0
1990-01-18,-2.77,8.7,-11.69,-1.9,90.07,91,66.69,67,31.17,33,6.1,15,1.57,0.3,0.64,0.3,1.13,0.0,8.5,0.0
1990-01-19,-2.6,-0.5,-11.49,-7.1,90.33,76,66.92,60,31.05,31,6.08,0,1.71,0.0,0.72,0.0,1.19,0.0,8.6,0.0
1990-01-20,-2.56,0.6,-11.35,-5.0,90.44,83,67.12,68,31.05,20,6.02,0,1.73,0.0,0.69,0.0,1.23,0.0,8.8,0.0
1990-01-21,-2.62,-0.2,-11.38,-7.0,90.46,94,67.08,77,31.06,28,6.0,4,1.67,1.8,0.7,0.2,1.13,1.6,8.9,0.0
1990-01-22,-2.61,1.1,-11.36,-4.3,90.31,96,67.17,70,31.06,35,5.92,9,1.63,1.4,0.68,0.0,1.11,1.4,9.0,3.0
1990-01-23,-2.5,2.1,-11.16,-6.1,90.32,96,67.36,68,31.0,31,5.91,9,1.64,3.0,0.69,0.4,1.11,1.8,9.0,3.0
1990-01-24,-2.43,6.2,-10.96,-0.8,90.29,98,67.39,65,31.14,54,6.09,0,1.68,1.0,0.7,1.0,1.14,0.0,8.9,2.0
1990-01-25,-2.32,7.1,-10.91,-1.2,90.28,96,67.34,69,31.0,69,6.1,0,1.73,4.0,0.73,4.0,1.15,0.0,9.0,0.0
1990-01-26,-2.33,1.3,-10.97,-1.9,90.21,90,67.25,67,31.01,48,6.08,17,1.8,0.0,0.8,0.0,1.16,0.0,9.1,0.0
1990-01-27,-2.4,9.6,-11.0,-2.6,90.19,82,67.23,42,31.03,44,6.11,11,1.85,0.0,0.79,0.0,1.23,0.0,9.2,0.0
1990-01-28,-2.45,5.0,-11.04,-3.5,90.07,71,66.97,53,30.96,59,6.13,6,1.8,0.0,0.79,0.0,1.17,0.0,9.3,0.0
1990-01-29,-2.45,0.6,-11.05,-2.5,90.05,96,66.96,66,31.0,26,6.09,4,1.85,5.2,0.83,0.0,1.19,5.2,9.3,0.0
1990-01-30,-2.64,1.7,-11.18,-8.5,89.93,93,66.82,61,30.8,20,6.11,6,1.85,0.0,0.8,0.0,1.23,0.0,9.4,6.0
1990-01-31,-2.82,1.2,-11.39,-4.9,89.94,91,66.72,63,30.67,17,6.16,0,1.76,0.0,0.78,0.0,1.13,0.0,9.4,6.0
1990-02-01,-2.92,5.1,-11.69,-4.2,89.72,98,66.3,67,30.67,30,6.15,4,1.64,0.2,0.68,0.2,1.1,0.0,9.4,5.0
1990-02-02,-3.12,0.9,-11.93,-8.2,89.43,92,65.93,60,30.22,31,5.98,9,1.52,3.0,0.62,0.0,1.06,3.4,9.4,0.0
1990-02-03,-3.21,-7.9,-12.13,-10.8,89.25,93,65.66,55,29.91,20,5.89,9,1.43,2.9,0.56,0.0,0.99,3.2,9.4,4.0
1990-02-04,-3.16,-4.9,-12.21,-11.9,89.27,92,65.61,63,29.64,28,5.93,7,1.4,1.0,0.56,0.0,0.97,1.0,9.3,5.0
1990-02-05,-3.11,1.5,-12.2,-13.9,89.28,85,65.43,74,29.61,33,5.82,0,1.48,0.0,0.58,0.0,1.01,0.0,9.2,5.0
1990-02-06,-3.09,5.6,-12.25,-0.7,89.34,96,65.26,61,29.7,17,5.89,0,1.52,0.0,0.57,0.0,1.03,0.0,9.1,5.0
1990-02-07,-3.03,5.7,-12.22,-2.1,89.33,100,64.95,66,29.54,15,5.92,0,1.52,0.0,0.57,0.0,1.02,0.0,9.1,1.0
1990-02-08,-2.95,9.0,-12.1,0.8,89.37,97,65.01,66,29.11,33,5.75,7,1.54,0.0,0.62,0.0,1.0,0.0,9.0,0.0
1990-02-09,-2.94,10.4,-12.1,1.1,89.35,93,64.95,68,28.97,28,5.66,6,1.46,1.6,0.56,1.6,0.98,0.0,8.9,0.0
1990-02-10,-2.81,1.5,-11.98,-5.2,89.27,91,64.84,43,28.95,52,5.6,4,1.34,0.0,0.48,0.0,0.93,0.0,8.7,0.0
1990-02-11,-2.52,1.0,-11.72,-6.7,89.38,85,64.82,57,28.7,17,5.45,0,1.3,0.0,0.51,0.0,0.85,0.0,8.5,0.0
1990-02-12,-2.29,1.4,-11.37,-3.2,89.62,85,65.23,57,28.61,20,5.31,0,1.34,0.0,0.5,0.0,0.88,0.0,8.3,0.0
1990-02-13,-2.13,11.6,-11.09,-0.9,89.78,96,65.39,54,28.61,39,5.26,11,1.3,7.4,0.5,6.2,0.83,1.2,8.1,0.0
1990-02-14,-1.87,-0.6,-10.88,-6.6,89.88,79,65.45,49,28.78,35,5.24,13,1.34,0.4,0.55,0.0,0.81,0.4,7.8,1.0
1990-02-15,-1.56,-4.2,-10.54,-7.7,89.9,100,65.48,85,29.06,30,5.24,11,1.42,21.2,0.67,2.8,0.76,14.0,7.5,6.0
1990-02-16,-1.3,2.0,-10.16,-5.5,90.06,98,65.65,64,29.02,43,5.23,0,1.55,4.4,0.8,4.4,0.76,0.0,7.2,13.0
1990-02-17,-1.04,-1.3,-9.8,-16.2,90.33,90,65.87,61,29.04,35,5.29,0,1.69,0.0,0.9,0.0,0.81,0.0,6.9,12.0
1990-02-18,-0.92,2.8,-9.63,-19.3,90.39,83,66.04,57,29.36,37,5.39,0,1.78,0.0,0.84,0.0,0.94,0.0,6.6,12.0
1990-02-19,-0.85,1.8,-9.46,-8.1,90.32,79,65.84,58,29.43,46,5.45,7,1.79,0.2,0.84,0.0,0.94,0.2,6.6,10.0
1990-02-20,-0.68,-1.7,-9.28,-12.0,90.3,77,65.64,50,29.42,20,5.54,0,1.72,0.0,0.83,0.0,0.89,0.0,6.4,10.0
