date,avg_hourly_temperature,max_temperature,min_temperature,precipitation,avg_hourly_wind_speed,avg_hourly_pressure_station,rain,snow,max_humidex,min_windchill,avg_hourly_relative_humidity,avg_hourly_pressure_sea,snow_on_ground
1990-01-01,-2.92,-0.4,-5.2,0.0,26.17,99.11,0.0,0.0,,-13.0,73.4,101.3,7.0
1990-01-02,-1.78,0.7,-4.5,0.0,21.75,100.01,0.0,0.0,,-11.0,74.7,102.2,7.0
1990-01-03,1.34,4.7,-4.5,0.0,17.83,99.84,0.0,0.0,,-9.0,77.6,102.01,7.0
1990-01-04,3.07,5.3,-0.8,3.8,21.54,98.75,3.8,0.0,,-6.0,84.5,100.89,4.0
1990-01-05,-1.9,0.0,-5.5,0.0,13.67,99.87,0.0,0.0,,-9.0,72.3,102.07,0.0
1990-01-06,-4.26,0.0,-8.7,0.0,13.67,99.64,0.0,0.0,,-13.0,80.0,101.85,0.0
1990-01-07,-0.43,3.3,-7.7,0.0,20.42,99.11,0.0,0.0,,-11.0,82.4,101.28,0.0
1990-01-08,0.14,3.9,-4.2,0.0,9.75,98.78,0.0,0.0,,-6.0,83.9,100.94,0.0
1990-01-09,2.35,3.9,0.7,4.6,16.12,98.33,4.6,0.0,,,82.6,100.46,0.0
1990-01-10,0.31,2.2,-2.3,4.8,18.71,98.36,4.6,0.2,,-8.0,88.0,100.51,0.0
1990-01-11,0.85,4.5,-2.6,2.2,27.54,97.34,0.0,2.2,,-8.0,82.9,99.45,0.0
1990-01-12,-5.33,-1.7,-9.2,0.2,29.33,97.79,0.0,0.2,,-17.0,73.5,99.97,2.0
1990-01-13,-7.92,-4.4,-13.1,0.0,22.42,99.89,0.0,0.0,,-20.0,73.7,102.14,1.0
1990-01-14,-3.33,-1.3,-6.1,0.2,18.67,100.2,0.0,0.2,,-11.0,77.5,102.41,1.0
1990-01-15,0.72,5.6,-4.3,0.0,8.25,99.64,0.0,0.0,,-7.0,82.7,101.81,1.0
1990-01-16,1.18,5.1,-0.8,0.0,7.54,100.2,0.0,0.0,,-4.0,91.1,102.38,0.0
1990-01-17,5.27,9.4,1.4,4.2,14.88,99.34,4.2,0.0,,,95.9,101.47,0.0
1990-01-18,2.62,8.7,-1.9,0.3,25.67,99.45,0.3,0.0,,-8.0,77.8,101.6,0.0
1990-01-19,-3.1,-0.5,-7.1,0.0,13.42,100.72,0.0,0.0,,-11.0,69.8,102.95,0.0
1990-01-20,-1.85,0.6,-5.0,0.0,7.54,99.58,0.0,0.0,,-7.0,75.2,101.77,0.0
1990-01-21,-4.92,-0.2,-7.0,1.8,13.21,98.59,0.2,1.6,,-13.0,88.2,100.78,0.0
1990-01-22,-0.6,1.1,-4.3,1.4,21.25,98.41,0.0,1.4,,-9.0,83.7,100.56,3.0
1990-01-23,-1.67,2.1,-6.1,3.0,17.84,99.08,0.4,1.8,,-11.0,80.2,101.26,3.0
1990-01-24,3.3,6.2,-0.8,1.0,29.42,98.4,1.0,0.0,,,79.4,100.52,2.0
1990-01-25,2.05,7.1,-1.2,4.0,28.0,98.19,4.0,0.0,,-4.0,84.9,100.32,0.0
1990-01-26,-0.21,1.3,-1.9,0.0,32.0,98.74,0.0,0.0,,-8.0,77.2,100.9,0.0
1990-01-27,3.87,9.6,-2.6,0.0,23.83,99.29,0.0,0.0,,-7.0,60.5,101.43,0.0
