Date,ObservedsfcWindmax,ModelsfcWindmax
1986-01-01,31,55.2791664
1986-01-02,19,41.291315999999995
1986-01-03,33,28.9847628
1986-01-04,33,23.242071600000003
1986-01-05,48,29.1648114
1986-01-06,39,28.39969260000001
1986-01-07,22,9.66207744
1986-01-08,52,15.7416156
1986-01-09,48,23.40702719999999
1986-01-10,35,15.219696959999998
1986-01-11,33,25.7537376
1986-01-12,46,26.370196560000004
1986-01-13,43,23.659279200000004
1986-01-14,24,9.08201304
1986-01-15,26,16.608018599999998
1986-01-16,15,30.307694399999995
1986-01-17,31,22.99736988
1986-01-18,19,36.427791600000006
1986-01-19,30,21.6251676
1986-01-20,59,20.953882800000006
1986-01-21,28,37.0822356
1986-01-22,43,30.252978
1986-01-23,19,33.0185304
1986-01-24,43,22.622014800000002
1986-01-25,37,42.92667
1986-01-26,15,17.1516672
1986-01-27,56,12.43158984
1986-01-28,39,31.7533104
1986-01-29,22,16.32272256
1986-01-30,28,22.15328184
1986-01-31,30,12.87860976
1986-02-01,33,23.986767600000004
1986-02-02,26,22.44581172
1986-02-03,20,29.735193599999995
1986-02-04,28,31.9472568
1986-02-05,22,24.8138712
1986-02-06,31,21.65370948
1986-02-07,44,28.6635654
1986-02-08,26,28.089169199999997
1986-02-09,22,41.8694868
1986-02-10,22,31.690746000000008
1986-02-11,20,30.4051248
1986-02-12,28,21.169854
1986-02-13,30,30.017995200000005
1986-02-14,24,25.647057720000006
1986-02-15,35,26.1455508
1986-02-16,22,27.754806960000003
1986-02-17,26,27.766435320000006
1986-02-18,7,18.4434156
1986-02-19,19,11.2068
1986-02-20,13,16.80213816
1986-02-21,48,17.672805
1986-02-22,22,22.29832800000001
1986-02-23,31,24.5730456
1986-02-24,17,14.501527199999998
1986-02-25,30,6.34782888
1986-02-26,22,13.45576968
1986-02-27,30,10.18965456
1986-02-28,30,19.4221296
1986-03-01,31,28.50874739999999
1986-03-02,17,28.1316168
1986-03-03,9,35.5901724
1986-03-04,13,31.456652399999996
1986-03-05,22,16.15915332
1986-03-06,41,33.283130400000005
1986-03-07,44,25.27600464000001
1986-03-08,22,28.36485
1986-03-09,22,22.367194199999997
1986-03-10,30,26.7109524
1986-03-11,48,38.000696399999995
1986-03-12,33,28.2102228
1986-03-13,31,32.5377612
1986-03-14,11,33.60042720000001
1986-03-15,17,33.4745028
1986-03-16,26,34.8220296
1986-03-17,17,51.991434000000005
1986-03-18,24,40.5343656
1986-03-19,63,21.881624400000003
1986-03-20,35,16.471818000000006
1986-03-21,22,32.2529976
1986-03-22,33,62.4684816
1986-03-23,31,48.6632916
1986-03-24,33,46.8183708
1986-03-25,43,34.815564
1986-03-26,48,26.5460436
1986-03-27,26,25.267454279999995
1986-03-28,48,47.7592506
1986-03-29,37,51.5612592
1986-03-30,39,39.3765408
1986-03-31,15,35.140046399999996
1986-04-01,48,42.894684000000005
1986-04-02,26,34.2413568
1986-04-03,31,35.97630119999999
1986-04-04,20,27.9913104
1986-04-05,37,29.8627092
1986-04-06,31,35.579978999999994
1986-04-07,37,34.547810399999996
1986-04-08,37,24.055704000000002
1986-04-09,41,27.95967108
1986-04-10,35,27.2802834
1986-04-11,22,43.45264080000001
1986-04-12,31,46.010412
1986-04-13,22,20.4128676
1986-04-14,30,29.11751640000001
1986-04-15,30,23.257422
1986-04-16,35,58.41943200000001
1986-04-17,24,42.7403196
1986-04-18,17,36.159505200000005
1986-04-19,20,41.359662
1986-04-20,24,16.859757600000005
1986-04-21,37,34.444512
1986-04-22,24,18.365108399999997
1986-04-23,24,27.57348108
1986-04-24,24,48.11299200000001
1986-04-25,15,57.578184
1986-04-26,19,16.7311296
1986-04-27,17,26.6936238
1986-04-28,30,35.97622560000001
1986-04-29,28,15.518744640000007
1986-04-30,17,15.804246599999999
1986-05-01,48,24.4505304
1986-05-02,35,26.279251199999997
1986-05-03,44,35.72471520000001
1986-05-04,43,49.7339298
1986-05-05,30,20.3544036
1986-05-06,26,19.11011184
1986-05-07,39,34.3757592
1986-05-08,28,48.140344799999994
1986-05-09,22,23.089487040000005
1986-05-10,13,24.21573300000001
1986-05-11,20,44.6383908
1986-05-12,33,36.358002
1986-05-13,24,35.01866879999999
1986-05-14,20,33.8201064
1986-05-15,22,34.469712
1986-05-16,35,41.13751680000001
1986-05-17,20,38.2543704
