date,max_temperature,min_temperature,max_relative_humidity,min_relative_humidity,max_wind_speed,min_wind_speed,precipitation,rain,snow,snow_on_ground
1990-01-01,-1.72,-9.76,90.83,69.17,29.5,5.4,1.57,0.72,0.94,6.1
1990-01-02,-1.97,-10.02,90.53,68.83,29.64,5.56,1.39,0.57,0.93,6.2
1990-01-03,-2.13,-10.23,90.38,68.54,29.67,5.62,1.42,0.56,0.97,6.3
1990-01-04,-2.27,-10.46,90.16,67.97,30.04,5.78,1.36,0.52,0.94,6.3
1990-01-05,-2.44,-10.75,90.04,67.54,30.26,5.84,1.28,0.54,0.87,6.4
1990-01-06,-2.49,-10.91,89.95,67.36,30.34,5.82,1.34,0.54,0.98,6.4
1990-01-07,-2.57,-11.02,90.02,67.1,30.5,5.88,1.43,0.6,1.01,6.5
1990-01-08,-2.8,-11.31,89.86,66.76,30.88,5.98,1.4,0.56,1.03,6.7
1990-01-09,-2.96,-11.6,89.64,66.54,31.07,5.94,1.3,0.52,0.98,6.9
1990-01-10,-3.1,-11.72,89.54,66.2,31.26,6.05,1.3,0.54,0.96,7.1
1990-01-11,-3.2,-11.91,89.64,66.2,31.19,6.15,1.33,0.55,0.97,7.2
1990-01-12,-3.26,-12.0,89.65,66.29,31.06,6.08,1.38,0.56,1.01,7.3
1990-01-13,-3.3,-12.13,89.77,66.4,31.34,6.19,1.48,0.58,1.09,7.5
1990-01-14,-3.39,-12.31,89.61,66.29,31.38,6.23,1.46,0.57,1.08,7.7
1990-01-15,-3.31,-12.27,89.53,66.36,31.21,6.13,1.41,0.58,1.03,7.9
1990-01-16,-3.09,-12.08,89.67,66.34,31.25,6.2,1.46,0.53,1.15,8.1
1990-01-17,-2.97,-11.85,89.83,66.65,31.0,6.11,1.54,0.59,1.15,8.3
1990-01-18,-2.77,-11.69,90.07,66.69,31.17,6.1,1.57,0.64,1.13,8.5
1990-01-19,-2.6,-11.49,90.33,66.92,31.05,6.08,1.71,0.72,1.19,8.6
1990-01-20,-2.56,-11.35,90.44,67.12,31.05,6.02,1.73,0.69,1.23,8.8
1990-01-21,-2.62,-11.38,90.46,67.08,31.06,6.0,1.67,0.7,1.13,8.9
1990-01-22,-2.61,-11.36,90.31,67.17,31.06,5.92,1.63,0.68,1.11,9.0
1990-01-23,-2.5,-11.16,90.32,67.36,31.0,5.91,1.64,0.69,1.11,9.0
1990-01-24,-2.43,-10.96,90.29,67.39,31.14,6.09,1.68,0.7,1.14,8.9
1990-01-25,-2.32,-10.91,90.28,67.34,31.0,6.1,1.73,0.73,1.15,9.0
1990-01-26,-2.33,-10.97,90.21,67.25,31.01,6.08,1.8,0.8,1.16,9.1
1990-01-27,-2.4,-11.0,90.19,67.23,31.03,6.11,1.85,0.79,1.23,9.2
1990-01-28,-2.45,-11.04,90.07,66.97,30.96,6.13,1.8,0.79,1.17,9.3
1990-01-29,-2.45,-11.05,90.05,66.96,31.0,6.09,1.85,0.83,1.19,9.3
1990-01-30,-2.64,-11.18,89.93,66.82,30.8,6.11,1.85,0.8,1.23,9.4
1990-01-31,-2.82,-11.39,89.94,66.72,30.67,6.16,1.76,0.78,1.13,9.4
1990-02-01,-2.92,-11.69,89.72,66.3,30.67,6.15,1.64,0.68,1.1,9.4
1990-02-02,-3.12,-11.93,89.43,65.93,30.22,5.98,1.52,0.62,1.06,9.4
1990-02-03,-3.21,-12.13,89.25,65.66,29.91,5.89,1.43,0.56,0.99,9.4
1990-02-04,-3.16,-12.21,89.27,65.61,29.64,5.93,1.4,0.56,0.97,9.3
1990-02-05,-3.11,-12.2,89.28,65.43,29.61,5.82,1.48,0.58,1.01,9.2
1990-02-06,-3.09,-12.25,89.34,65.26,29.7,5.89,1.52,0.57,1.03,9.1
1990-02-07,-3.03,-12.22,89.33,64.95,29.54,5.92,1.52,0.57,1.02,9.1
1990-02-08,-2.95,-12.1,89.37,65.01,29.11,5.75,1.54,0.62,1.0,9.0
1990-02-09,-2.94,-12.1,89.35,64.95,28.97,5.66,1.46,0.56,0.98,8.9
1990-02-10,-2.81,-11.98,89.27,64.84,28.95,5.6,1.34,0.48,0.93,8.7
1990-02-11,-2.52,-11.72,89.38,64.82,28.7,5.45,1.3,0.51,0.85,8.5
1990-02-12,-2.29,-11.37,89.62,65.23,28.61,5.31,1.34,0.5,0.88,8.3
1990-02-13,-2.13,-11.09,89.78,65.39,28.61,5.26,1.3,0.5,0.83,8.1
1990-02-14,-1.87,-10.88,89.88,65.45,28.78,5.24,1.34,0.55,0.81,7.8
1990-02-15,-1.56,-10.54,89.9,65.48,29.06,5.24,1.42,0.67,0.76,7.5
1990-02-16,-1.3,-10.16,90.06,65.65,29.02,5.23,1.55,0.8,0.76,7.2
1990-02-17,-1.04,-9.8,90.33,65.87,29.04,5.29,1.69,0.9,0.81,6.9
1990-02-18,-0.92,-9.63,90.39,66.04,29.36,5.39,1.78,0.84,0.94,6.6
1990-02-19,-0.85,-9.46,90.32,65.84,29.43,5.45,1.79,0.84,0.94,6.6
1990-02-20,-0.68,-9.28,90.3,65.64,29.42,5.54,1.72,0.83,0.89,6.4
1990-02-21,-0.47,-9.07,90.36,65.54,29.32,5.46,1.64,0.81,0.83,6.3
1990-02-22,-0.35,-8.95,90.4,65.56,29.57,5.45,1.62,0.83,0.81,6.1
1990-02-23,-0.23,-8.84,90.48,65.35,29.71,5.4,1.6,0.78,0.8,6.0
1990-02-24,-0.07,-8.66,90.49,65.25,29.76,5.39,1.66,0.78,0.8,5.8
1990-02-25,0.04,-8.43,90.7,65.26,29.76,5.35,1.95,0.97,0.88,5.7
1990-02-26,0.15,-8.26,90.75,65.13,29.99,5.41,1.91,0.98,0.84,5.6
1990-02-27,0.33,-8.13,90.72,64.61,30.09,5.46,2.0,1.07,0.83,5.5
1990-02-28,0.44,-8.06,90.57,64.12,30.16,5.65,2.0,1.05,0.86,5.4
1990-03-01,0.53,-7.99,90.37,63.44,30.03,5.62,2.02,1.01,0.89,5.3
1990-03-02,0.54,-7.98,90.26,63.17,29.64,5.49,1.95,0.94,0.89,5.3
1990-03-03,0.67,-7.96,90.24,62.87,29.53,5.33,1.89,0.83,0.95,5.3
1990-03-04,0.75,-7.93,90.09,62.69,29.58,5.35,1.76,0.79,0.87,5.4
1990-03-05,0.97,-7.74,90.13,62.54,29.48,5.19,1.74,0.88,0.81,5.3
1990-03-06,1.24,-7.47,90.23,62.46,29.32,5.07,1.85,0.93,0.82,5.1
1990-03-07,1.46,-7.21,90.39,62.65,29.31,5.08,1.95,1.02,0.82,5.0
1990-03-08,1.68,-6.95,90.29,62.38,29.3,5.19,1.92,0.98,0.83,4.8
1990-03-09,1.89,-6.78,90.41,62.27,29.38,5.29,1.97,1.05,0.84,4.5
1990-03-10,2.05,-6.61,90.3,61.95,29.62,5.43,2.08,1.16,0.88,4.3
1990-03-11,2.25,-6.53,90.4,61.68,29.75,5.48,2.13,1.21,0.89,4.2
1990-03-12,2.45,-6.46,90.27,61.14,29.74,5.51,1.92,1.06,0.83,4.0
1990-03-13,2.54,-6.41,90.21,61.02,29.41,5.36,1.86,1.0,0.82,3.8
1990-03-14,2.62,-6.32,90.24,61.2,29.52,5.42,1.99,1.11,0.85,3.6
1990-03-15,2.73,-6.13,90.39,61.26,29.28,5.31,2.05,1.17,0.85,3.4
1990-03-16,3.04,-5.87,90.56,61.14,29.25,5.24,1.98,1.16,0.81,3.2
1990-03-17,3.28,-5.66,90.66,60.84,29.71,5.37,2.0,1.19,0.8,3.0
