date,avg_hourly_temperature,max_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,min_relative_humidity,max_wind_speed,avg_hourly_wind_speed,min_wind_speed,max_pressure_sea,avg_hourly_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,min_visibility,cooldegdays,precipitation,rain,snow,snow_on_ground
1990-01-01,-2.92,-0.4,-5.2,,-13.0,82,73.4,62,37,26.17,15,102.28,101.3,100.08,100.07,99.11,97.94,40200,24562.5,8000,0.0,0.0,0.0,0.0,7.0
1990-01-02,-1.78,0.7,-4.5,,-11.0,82,74.7,63,41,21.75,0,102.31,102.2,102.04,100.11,100.01,99.87,32200,24525.0,12900,0.0,0.0,0.0,0.0,7.0
1990-01-03,1.34,4.7,-4.5,,-9.0,91,77.6,63,24,17.83,9,102.38,102.01,101.61,100.17,99.84,99.47,24100,16433.3,9700,0.0,0.0,0.0,0.0,7.0
1990-01-04,3.07,5.3,-0.8,,-6.0,95,84.5,71,31,21.54,9,101.68,100.89,100.07,99.51,98.75,97.97,25000,16533.3,4800,0.0,3.8,3.8,0.0,4.0
1990-01-05,-1.9,0.0,-5.5,,-9.0,87,72.3,60,22,13.67,7,102.41,102.07,101.75,100.21,99.87,99.57,32200,26133.3,14500,0.0,0.0,0.0,0.0,0.0
1990-01-06,-4.26,0.0,-8.7,,-13.0,93,80.0,62,37,13.67,0,102.32,101.85,101.44,100.07,99.64,99.24,40200,21562.5,4800,0.0,0.0,0.0,0.0,0.0
1990-01-07,-0.43,3.3,-7.7,,-11.0,92,82.4,69,33,20.42,6,102.05,101.28,100.95,99.81,99.11,98.81,25000,15908.3,11300,0.0,0.0,0.0,0.0,0.0
1990-01-08,0.14,3.9,-4.2,,-6.0,94,83.9,72,20,9.75,0,101.3,100.94,100.55,99.11,98.78,98.41,16100,8075.0,3200,0.0,0.0,0.0,0.0,0.0
1990-01-09,2.35,3.9,0.7,,,96,82.6,73,24,16.12,9,100.68,100.46,100.03,98.54,98.33,97.91,16100,11912.5,3200,0.0,4.6,4.6,0.0,0.0
1990-01-10,0.31,2.2,-2.3,,-8.0,95,88.0,76,26,18.71,7,101.08,100.51,99.93,98.91,98.36,97.81,32200,15783.3,4800,0.0,4.8,4.6,0.2,0.0
