date,max_temperature,min_temperature,max_relative_humidity,min_relative_humidity,max_wind_speed,min_wind_speed,rain,precipitation,snow,snow_on_ground
1990-01-01,-0.4,-5.2,82,62,37,15,0.0,0.0,0.0,7.0
1990-01-02,0.7,-4.5,82,63,41,0,0.0,0.0,0.0,7.0
1990-01-03,4.7,-4.5,91,63,24,9,0.0,0.0,0.0,7.0
1990-01-04,5.3,-0.8,95,71,31,9,3.8,3.8,0.0,4.0
1990-01-05,0.0,-5.5,87,60,22,7,0.0,0.0,0.0,0.0
1990-01-06,0.0,-8.7,93,62,37,0,0.0,0.0,0.0,0.0
1990-01-07,3.3,-7.7,92,69,33,6,0.0,0.0,0.0,0.0
1990-01-08,3.9,-4.2,94,72,20,0,0.0,0.0,0.0,0.0
1990-01-09,3.9,0.7,96,73,24,9,4.6,4.6,0.0,0.0
1990-01-10,2.2,-2.3,95,76,26,7,4.6,4.8,0.2,0.0
1990-01-11,4.5,-2.6,98,71,37,17,0.0,2.2,2.2,0.0
1990-01-12,-1.7,-9.2,81,64,41,19,0.0,0.2,0.2,2.0
1990-01-13,-4.4,-13.1,86,63,35,4,0.0,0.0,0.0,1.0
1990-01-14,-1.3,-6.1,89,68,37,4,0.0,0.2,0.2,1.0
1990-01-15,5.6,-4.3,95,63,19,0,0.0,0.0,0.0,1.0
1990-01-16,5.1,-0.8,100,77,15,0,0.0,0.0,0.0,0.0
1990-01-17,9.4,1.4,100,91,28,0,4.2,4.2,0.0,0.0
1990-01-18,8.7,-1.9,91,67,33,15,0.3,0.3,0.0,0.0
1990-01-19,-0.5,-7.1,76,60,31,0,0.0,0.0,0.0,0.0
1990-01-20,0.6,-5.0,83,68,20,0,0.0,0.0,0.0,0.0
1990-01-21,-0.2,-7.0,94,77,28,4,0.2,1.8,1.6,0.0
1990-01-22,1.1,-4.3,96,70,35,9,0.0,1.4,1.4,3.0
1990-01-23,2.1,-6.1,96,68,31,9,0.4,3.0,1.8,3.0
1990-01-24,6.2,-0.8,98,65,54,0,1.0,1.0,0.0,2.0
1990-01-25,7.1,-1.2,96,69,69,0,4.0,4.0,0.0,0.0
1990-01-26,1.3,-1.9,90,67,48,17,0.0,0.0,0.0,0.0
1990-01-27,9.6,-2.6,82,42,44,11,0.0,0.0,0.0,0.0
1990-01-28,5.0,-3.5,71,53,59,6,0.0,0.0,0.0,0.0
1990-01-29,0.6,-2.5,96,66,26,4,0.0,5.2,5.2,0.0
1990-01-30,1.7,-8.5,93,61,20,6,0.0,0.0,0.0,6.0
1990-01-31,1.2,-4.9,91,63,17,0,0.0,0.0,0.0,6.0
1990-02-01,5.1,-4.2,98,67,30,4,0.2,0.2,0.0,5.0
1990-02-02,0.9,-8.2,92,60,31,9,0.0,3.0,3.4,0.0
1990-02-03,-7.9,-10.8,93,55,20,9,0.0,2.9,3.2,4.0
1990-02-04,-4.9,-11.9,92,63,28,7,0.0,1.0,1.0,5.0
1990-02-05,1.5,-13.9,85,74,33,0,0.0,0.0,0.0,5.0
1990-02-06,5.6,-0.7,96,61,17,0,0.0,0.0,0.0,5.0
1990-02-07,5.7,-2.1,100,66,15,0,0.0,0.0,0.0,1.0
1990-02-08,9.0,0.8,97,66,33,7,0.0,0.0,0.0,0.0
1990-02-09,10.4,1.1,93,68,28,6,1.6,1.6,0.0,0.0
1990-02-10,1.5,-5.2,91,43,52,4,0.0,0.0,0.0,0.0
1990-02-11,1.0,-6.7,85,57,17,0,0.0,0.0,0.0,0.0
1990-02-12,1.4,-3.2,85,57,20,0,0.0,0.0,0.0,0.0
1990-02-13,11.6,-0.9,96,54,39,11,6.2,7.4,1.2,0.0
