date,max_temperature,min_temperature,max_relative_humidity,min_relative_humidity,max_wind_speed,min_wind_speed,precipitation,rain,snow,snow_on_ground
1990-01-01,-2.66,-11.24,90.02,66.99,31.01,6.0,46.68,18.86,33.02,7.9
1990-02-01,-1.7,-10.63,89.94,65.35,29.38,5.61,45.14,20.16,26.33,7.7
1990-03-01,3.47,-5.54,90.15,60.27,29.64,5.18,57.22,34.52,20.81,3.1
1990-04-01,11.42,0.56,88.57,49.5,30.5,4.5,64.38,56.35,7.3,0.3
1990-05-01,18.48,6.19,88.5,46.83,26.68,3.16,67.0,66.78,0.14,0.0
1990-06-01,23.62,11.1,89.99,48.63,24.88,2.4,68.42,68.42,0.0,0.0
1990-07-01,26.74,14.18,90.4,47.33,23.46,2.18,77.8,77.8,0.0,0.0
1990-08-01,25.52,13.37,93.25,50.39,22.6,2.08,81.74,81.74,0.0,0.0
1990-09-01,21.04,9.44,94.06,54.31,23.88,2.37,73.02,73.02,0.0,0.0
1990-10-01,14.16,3.63,93.45,57.57,25.09,3.16,62.12,60.97,1.12,0.0
1990-11-01,7.16,-0.75,93.22,65.91,27.85,4.71,70.91,64.79,6.73,0.3
1990-12-01,0.24,-7.55,91.87,69.74,29.11,5.31,62.33,35.6,30.68,4.1
1991-01-01,-2.5,-11.11,89.99,66.77,31.08,6.03,45.62,18.51,32.28,7.6
1991-02-01,-1.64,-10.64,89.93,65.03,29.35,5.51,45.53,20.83,25.91,7.6
1991-03-01,3.68,-5.31,90.22,60.2,29.63,5.12,56.88,35.11,19.9,2.8
1991-04-01,11.47,0.57,88.39,49.34,30.47,4.65,63.99,55.98,7.29,0.3
1991-05-01,18.44,6.09,88.29,46.36,26.81,3.2,65.99,65.77,0.14,0.0
1991-06-01,23.64,11.12,90.05,48.66,24.92,2.44,68.88,68.88,0.0,0.0
1991-07-01,26.75,14.22,90.35,47.33,23.44,2.19,76.62,76.62,0.0,0.0
1991-08-01,25.5,13.39,93.32,50.66,22.45,2.08,84.17,84.17,0.0,0.0
1991-09-01,20.95,9.37,94.18,54.64,23.83,2.36,74.23,74.23,0.0,0.0
1991-10-01,14.12,3.63,93.44,57.84,25.13,3.18,63.12,61.98,1.11,0.0
1991-11-01,7.15,-0.81,93.19,65.86,27.76,4.69,70.33,64.32,6.43,0.3
1991-12-01,0.39,-7.41,92.01,69.83,29.01,5.24,65.51,38.28,31.11,4.0
1992-01-01,-2.43,-11.02,90.15,66.91,31.05,6.12,46.38,18.88,32.59,7.7
1992-02-01,-1.62,-10.61,89.93,64.9,29.3,5.51,44.34,19.53,25.93,7.6
1992-03-01,3.75,-5.28,90.11,60.03,29.45,5.16,57.59,37.38,19.12,2.7
1992-04-01,11.63,0.68,88.21,49.06,30.29,4.66,64.57,57.48,6.49,0.2
1992-05-01,18.6,6.25,88.28,46.55,26.49,3.12,66.64,66.44,0.12,0.0
1992-06-01,23.72,11.18,89.87,48.5,24.75,2.42,66.93,66.93,0.0,0.0
1992-07-01,26.77,14.23,90.21,47.02,23.45,2.19,76.97,76.97,0.0,0.0
1992-08-01,25.5,13.42,93.21,50.56,22.42,2.1,85.34,85.34,0.0,0.0
1992-09-01,20.8,9.22,94.07,54.38,23.77,2.34,74.56,74.56,0.0,0.0
1992-10-01,14.03,3.62,93.38,57.91,25.02,3.16,64.17,63.03,1.11,0.0
1992-11-01,7.1,-0.8,93.12,65.92,27.7,4.74,70.49,64.13,6.88,0.3
1992-12-01,0.41,-7.43,91.98,69.75,28.88,5.02,65.46,37.69,31.73,4.0
1993-01-01,-2.38,-10.87,90.29,67.06,30.59,6.02,45.36,18.27,32.23,7.7
1993-02-01,-1.52,-10.43,90.06,65.05,29.03,5.43,42.64,19.89,24.16,7.2
1993-03-01,3.72,-5.3,90.25,60.13,29.5,5.14,57.91,37.67,19.2,2.6
1993-04-01,11.52,0.7,88.46,49.43,30.1,4.56,67.88,61.11,6.17,0.2
1993-05-01,18.45,6.17,88.48,46.83,26.36,3.08,68.58,68.37,0.12,0.0
1993-06-01,23.63,11.11,89.9,48.5,24.78,2.42,66.0,66.0,0.0,0.0
1993-07-01,26.67,14.22,90.44,47.46,23.31,2.12,78.43,78.43,0.0,0.0
1993-08-01,25.38,13.37,93.35,50.91,22.29,2.03,87.94,87.94,0.0,0.0
1993-09-01,20.81,9.22,94.17,54.62,23.68,2.25,73.44,73.44,0.0,0.0
1993-10-01,13.95,3.51,93.38,57.8,25.07,3.15,63.1,62.16,0.88,0.0
1993-11-01,7.07,-0.75,93.22,66.32,27.79,4.7,70.84,64.18,7.2,0.3
1993-12-01,0.47,-7.29,92.04,69.82,28.65,4.91,64.58,36.79,31.59,4.1
1994-01-01,-2.22,-10.72,90.46,67.12,30.54,5.95,46.58,19.53,32.11,7.7
1994-02-01,-1.5,-10.39,90.07,65.09,28.98,5.39,42.66,19.83,24.36,7.4
