date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
1990-01-01,-5.83,2.21,30,1960-01-01 1989-01-01,90.02,1.86,30,1960-01-01 1989-01-01,-2.66,2.34,30,1960-01-01 1989-01-01,31.01,3.55,30,1960-01-01 1989-01-01,-13.79,2.69,30,1960-01-01 1989-01-01,66.99,3.56,30,1960-01-01 1989-01-01,-11.24,2.77,30,1960-01-01 1989-01-01,6,1.55,30,1960-01-01 1989-01-01,46.68,19.74,30,1960-01-01 1989-01-01,18.86,14.48,30,1960-01-01 1989-01-01,33.02,16.92,30,1960-01-01 1989-01-01,7.9,5.97,30,1960-01-01 1989-01-01,,,,
1990-02-01,-5.23,2.16,30,1960-02-01 1989-02-01,89.94,2.47,30,1960-02-01 1989-02-01,-1.7,2.03,30,1960-02-01 1989-02-01,29.38,3.11,30,1960-02-01 1989-02-01,-13.17,2.76,30,1960-02-01 1989-02-01,65.35,4.14,30,1960-02-01 1989-02-01,-10.63,2.63,30,1960-02-01 1989-02-01,5.61,1.57,30,1960-02-01 1989-02-01,45.14,24.39,30,1960-02-01 1989-02-01,20.16,16.44,30,1960-02-01 1989-02-01,26.33,15.29,30,1960-02-01 1989-02-01,7.7,5.95,30,1960-02-01 1989-02-01,,,,
1990-03-01,-1.32,1.93,30,1960-03-01 1989-03-01,90.15,2.07,30,1960-03-01 1989-03-01,3.47,2.35,30,1960-03-01 1989-03-01,29.64,3.05,30,1960-03-01 1989-03-01,-8.48,2.11,30,1960-03-01 1989-03-01,60.27,4.42,30,1960-03-01 1989-03-01,-5.54,2.02,30,1960-03-01 1989-03-01,5.18,1.18,30,1960-03-01 1989-03-01,57.22,26.52,30,1960-03-01 1989-03-01,34.52,22.33,30,1960-03-01 1989-03-01,20.81,11.77,30,1960-03-01 1989-03-01,3.1,3.33,30,1960-03-01 1989-03-01,,,,
1990-04-01,3.62,1.46,30,1960-04-01 1989-04-01,88.57,2.68,30,1960-04-01 1989-04-01,11.42,1.88,30,1960-04-01 1989-04-01,30.5,2.26,30,1960-04-01 1989-04-01,-3.2,1.43,30,1960-04-01 1989-04-01,49.5,5.04,30,1960-04-01 1989-04-01,0.56,1.35,30,1960-04-01 1989-04-01,4.5,1.41,30,1960-04-01 1989-04-01,64.38,21.75,30,1960-04-01 1989-04-01,56.35,21.15,30,1960-04-01 1989-04-01,7.3,7.8,30,1960-04-01 1989-04-01,0.3,0.5,30,1960-04-01 1989-04-01,,,,
1990-05-01,9.36,1.48,30,1960-05-01 1989-05-01,88.5,3.06,30,1960-05-01 1989-05-01,18.48,2.24,30,1960-05-01 1989-05-01,26.68,2.56,30,1960-05-01 1989-05-01,2.48,1.73,30,1960-05-01 1989-05-01,46.83,5.47,30,1960-05-01 1989-05-01,6.19,1.7,30,1960-05-01 1989-05-01,3.16,0.95,30,1960-05-01 1989-05-01,67,30,30,1960-05-01 1989-05-01,66.78,29.94,30,1960-05-01 1989-05-01,0.14,0.43,30,1960-05-01 1989-05-01,0,0,30,1960-05-01 1989-05-01,,,,
1990-06-01,14.48,1.25,30,1960-06-01 1989-06-01,89.99,3.77,30,1960-06-01 1989-06-01,23.62,1.42,30,1960-06-01 1989-06-01,24.88,2.22,30,1960-06-01 1989-06-01,8,1.65,30,1960-06-01 1989-06-01,48.63,5.76,30,1960-06-01 1989-06-01,11.1,1.23,30,1960-06-01 1989-06-01,2.4,1.06,30,1960-06-01 1989-06-01,68.42,30.57,30,1960-06-01 1989-06-01,68.42,30.57,30,1960-06-01 1989-06-01,0,0,30,1960-06-01 1989-06-01,0,0,30,1960-06-01 1989-06-01,,,,
1990-07-01,17.01,0.91,30,1960-07-01 1989-07-01,90.4,2.84,30,1960-07-01 1989-07-01,26.74,1.28,30,1960-07-01 1989-07-01,23.46,1.72,30,1960-07-01 1989-07-01,11.16,1.2,30,1960-07-01 1989-07-01,47.33,4.99,30,1960-07-01 1989-07-01,14.18,1.22,30,1960-07-01 1989-07-01,2.18,0.86,30,1960-07-01 1989-07-01,77.8,34.45,30,1960-07-01 1989-07-01,77.8,34.45,30,1960-07-01 1989-07-01,0,0,30,1960-07-01 1989-07-01,0,0,30,1960-07-01 1989-07-01,,,,
1990-08-01,16.94,0.9,30,1960-08-01 1989-08-01,93.25,1.83,30,1960-08-01 1989-08-01,25.52,1.3,30,1960-08-01 1989-08-01,22.6,2.34,30,1960-08-01 1989-08-01,11.16,1.22,30,1960-08-01 1989-08-01,50.39,3.29,30,1960-08-01 1989-08-01,13.37,1.28,30,1960-08-01 1989-08-01,2.08,0.57,30,1960-08-01 1989-08-01,81.74,40.38,30,1960-08-01 1989-08-01,81.74,40.38,30,1960-08-01 1989-08-01,0,0,30,1960-08-01 1989-08-01,0,0,30,1960-08-01 1989-08-01,,,,
1990-09-01,13.82,1.3,30,1960-09-01 1989-09-01,94.06,1.64,30,1960-09-01 1989-09-01,21.04,1.46,30,1960-09-01 1989-09-01,23.88,2.36,30,1960-09-01 1989-09-01,7.6,1.5,30,1960-09-01 1989-09-01,54.31,5.32,30,1960-09-01 1989-09-01,9.44,1.46,30,1960-09-01 1989-09-01,2.37,0.8,30,1960-09-01 1989-09-01,73.02,43.82,30,1960-09-01 1989-09-01,73.02,43.82,30,1960-09-01 1989-09-01,0,0,30,1960-09-01 1989-09-01,0,0,30,1960-09-01 1989-09-01,,,,
1990-10-01,7.99,1.65,30,1960-10-01 1989-10-01,93.45,1.97,30,1960-10-01 1989-10-01,14.16,2.2,30,1960-10-01 1989-10-01,25.09,2.72,30,1960-10-01 1989-10-01,1.73,1.78,30,1960-10-01 1989-10-01,57.57,5.92,30,1960-10-01 1989-10-01,3.63,1.64,30,1960-10-01 1989-10-01,3.16,0.94,30,1960-10-01 1989-10-01,62.12,29.93,30,1960-10-01 1989-10-01,60.97,29.12,30,1960-10-01 1989-10-01,1.12,2.76,30,1960-10-01 1989-10-01,0,0.15,30,1960-10-01 1989-10-01,,,,
