Date,Variable
2001-01-01,0
2001-01-02,3.13E-06
2001-01-03,7.19E-05
2001-01-04,2.08E-05
2001-01-05,8.31E-05
2001-01-06,5.32E-06
2001-01-07,2.19E-07
2001-01-08,0
2001-01-09,2.72E-06
2001-01-10,0
2001-01-11,5.82E-08
2001-01-12,4.53E-07
2001-01-13,9.91E-05
2001-01-14,1.32E-06
2001-01-15,0
2001-01-16,0
2001-01-17,2.35E-06
2001-01-18,0
2001-01-19,0
2001-01-20,0.000170306
2001-01-21,1.30E-06
2001-01-22,0
2001-01-23,4.34E-08
2001-01-24,0
2001-01-25,0
2001-01-26,6.28E-07
2001-01-27,0
2001-01-28,0
2001-01-29,0
2001-01-30,0
2001-01-31,0
2001-02-01,2.06E-05
2001-02-02,1.01E-05
2001-02-03,2.48E-07
2001-02-04,3.41E-08
2001-02-05,5.54E-07
2001-02-06,1.90E-07
2001-02-07,0
2001-02-08,4.23E-06
2001-02-09,4.11E-07
2001-02-10,0
2001-02-11,5.64E-08
2001-02-12,6.28E-05
2001-02-13,5.53E-06
2001-02-14,0
2001-02-15,3.38E-08
2001-02-16,0
2001-02-17,3.27E-05
2001-02-18,5.73E-05
2001-02-19,0.000178231
2001-02-20,4.56E-05
2001-02-21,0.000226997
2001-02-22,3.74E-07
2001-02-23,1.87E-05
2001-02-24,1.15E-06
2001-02-25,3.28E-07
2001-02-26,2.17E-05
2001-02-27,6.61E-05
2001-02-28,0
2001-03-01,3.50E-06
2001-03-02,2.58E-05
2001-03-03,0
2001-03-04,1.91E-07
2001-03-05,2.66E-05
2001-03-06,9.55E-08
2001-03-07,6.37E-07
2001-03-08,2.25E-06
2001-03-09,0.000118197
2001-03-10,3.54E-05
2001-03-11,0
2001-03-12,0
2001-03-13,2.27E-07
2001-03-14,0
2001-03-15,0
2001-03-16,9.19E-05
2001-03-17,6.38E-05
2001-03-18,2.08E-07
2001-03-19,8.46E-05
2001-03-20,4.53E-06
2001-03-21,9.61E-06
2001-03-22,5.13E-05
2001-03-23,5.39E-06
2001-03-24,0
2001-03-25,1.05E-07
2001-03-26,0.000153592
2001-03-27,8.03E-06
2001-03-28,8.99E-06
2001-03-29,2.76E-05
2001-03-30,4.02E-08
2001-03-31,0
2001-04-01,0
2001-04-02,1.27E-06
2001-04-03,7.08E-06
2001-04-04,5.20E-06
2001-04-05,0
2001-04-06,0
2001-04-07,3.52E-08
2001-04-08,1.19E-07
2001-04-09,0
2001-04-10,0.000117776
2001-04-11,7.89E-08
2001-04-12,5.99E-07
2001-04-13,5.60E-06
2001-04-14,3.35E-06
2001-04-15,7.51E-06
2001-04-16,0.000140134
2001-04-17,0.000312972
2001-04-18,2.81E-06
2001-04-19,4.61E-07
2001-04-20,4.40E-05
2001-04-21,4.90E-08
2001-04-22,0
2001-04-23,1.07E-07
2001-04-24,9.60E-07
2001-04-25,3.58E-07
2001-04-26,8.79E-06
2001-04-27,1.17E-06
2001-04-28,0
2001-04-29,6.45E-05
2001-04-30,3.91E-05
2001-05-01,9.73E-05
2001-05-02,6.00E-05
2001-05-03,5.98E-05
2001-05-04,8.20E-06
2001-05-05,1.92E-05
2001-05-06,0.000124191
2001-05-07,5.55E-06
2001-05-08,5.67E-05
2001-05-09,2.35E-05
2001-05-10,3.29E-05
2001-05-11,1.76E-05
2001-05-12,1.37E-05
2001-05-13,2.50E-05
2001-05-14,8.42E-07
2001-05-15,1.76E-07
2001-05-16,0
2001-05-17,0
2001-05-18,8.56E-07
2001-05-19,0.000140148
2001-05-20,1.91E-05
2001-05-21,1.93E-06
2001-05-22,4.01E-07
2001-05-23,6.42E-06
2001-05-24,0.000144043
2001-05-25,0.000154176
2001-05-26,0
2001-05-27,9.04E-07
2001-05-28,7.45E-08
2001-05-29,7.85E-05
2001-05-30,7.75E-06
2001-05-31,7.83E-05
2001-06-01,8.63E-05
2001-06-02,0.000209345
2001-06-03,4.77E-05
2001-06-04,0
2001-06-05,0
2001-06-06,2.84E-05
2001-06-07,0.000113778
2001-06-08,7.79E-05
2001-06-09,3.74E-06
2001-06-10,9.83E-06
2001-06-11,4.66E-05
2001-06-12,1.68E-07
2001-06-13,1.72E-08
2001-06-14,4.02E-08
2001-06-15,9.10E-08
2001-06-16,7.74E-06
2001-06-17,7.30E-06
2001-06-18,0
2001-06-19,7.88E-05
2001-06-20,9.59E-05
2001-06-21,8.63E-08
2001-06-22,3.96E-05
2001-06-23,4.54E-05
2001-06-24,0.000113073
2001-06-25,1.35E-06
2001-06-26,1.70E-05
2001-06-27,4.73E-07
2001-06-28,0
2001-06-29,3.67E-07
2001-06-30,0.000344205
2001-07-01,9.34E-08
2001-07-02,2.41E-05
2001-07-03,1.76E-05
2001-07-04,2.37E-05
2001-07-05,2.30E-05
2001-07-06,1.12E-07
2001-07-07,5.37E-05
2001-07-08,7.43E-07
2001-07-09,1.16E-06
2001-07-10,6.41E-07
2001-07-11,8.55E-05
2001-07-12,0.000119521
2001-07-13,2.97E-06
2001-07-14,3.46E-06
2001-07-15,7.25E-06
2001-07-16,2.03E-06
2001-07-17,5.18E-07
2001-07-18,0.00012272
2001-07-19,3.13E-05
2001-07-20,0.000362223
2001-07-21,4.46E-06
2001-07-22,1.50E-06
2001-07-23,4.04E-07
2001-07-24,3.24E-07
2001-07-25,6.83E-05
2001-07-26,4.47E-07
2001-07-27,5.15E-08
2001-07-28,1.19E-05
2001-07-29,1.15E-06
2001-07-30,7.04E-06
2001-07-31,5.90E-06
2001-08-01,7.34E-06
2001-08-02,0
2001-08-03,6.03E-07
2001-08-04,9.69E-05
2001-08-05,3.14E-05
2001-08-06,6.20E-07
2001-08-07,7.07E-07
2001-08-08,3.56E-07
2001-08-09,4.62E-07
2001-08-10,1.15E-05
2001-08-11,5.18E-05
2001-08-12,5.26E-07
2001-08-13,0
2001-08-14,3.23E-05
2001-08-15,5.13E-05
2001-08-16,7.35E-06
2001-08-17,3.18E-06
2001-08-18,4.53E-07
2001-08-19,6.23E-06
2001-08-20,1.70E-05
2001-08-21,1.09E-05
2001-08-22,3.50E-05
2001-08-23,1.03E-06
2001-08-24,4.08E-06
2001-08-25,1.17E-05
2001-08-26,6.23E-05
2001-08-27,2.40E-07
2001-08-28,2.34E-07
2001-08-29,3.58E-07
2001-08-30,3.89E-05
2001-08-31,7.10E-06
2001-09-01,0
2001-09-02,5.80E-08
2001-09-03,1.62E-06
2001-09-04,2.59E-05
2001-09-05,5.84E-05
2001-09-06,0
2001-09-07,0.000109391
2001-09-08,6.01E-05
2001-09-09,3.12E-05
2001-09-10,1.44E-06
2001-09-11,9.43E-07
2001-09-12,6.73E-07
2001-09-13,0
2001-09-14,1.19E-07
2001-09-15,0
2001-09-16,0.000106008
2001-09-17,2.28E-06
2001-09-18,1.46E-06
2001-09-19,9.76E-05
2001-09-20,0
2001-09-21,9.63E-05
2001-09-22,8.85E-05
2001-09-23,2.83E-06
2001-09-24,0.000118773
2001-09-25,8.45E-08
2001-09-26,1.23E-06
2001-09-27,9.68E-06
2001-09-28,3.57E-05
2001-09-29,9.03E-07
2001-09-30,6.77E-06
2001-10-01,2.97E-06
2001-10-02,2.43E-06
2001-10-03,7.09E-07
2001-10-04,2.55E-05
2001-10-05,3.80E-06
2001-10-06,1.60E-06
2001-10-07,2.19E-07
2001-10-08,3.28E-07
2001-10-09,0
2001-10-10,2.03E-05
2001-10-11,1.85E-05
2001-10-12,2.95E-05
2001-10-13,5.32E-07
2001-10-14,1.84E-06
2001-10-15,0
2001-10-16,0
2001-10-17,1.54E-07
2001-10-18,5.06E-06
2001-10-19,2.16E-07
2001-10-20,3.93E-08
2001-10-21,0
2001-10-22,0
2001-10-23,0
2001-10-24,0
2001-10-25,0
2001-10-26,0
2001-10-27,1.59E-05
2001-10-28,0
2001-10-29,1.78E-05
2001-10-30,2.61E-07
2001-10-31,3.58E-06
2001-11-01,7.77E-07
2001-11-02,2.64E-07
2001-11-03,0
2001-11-04,0
2001-11-05,2.38E-05
2001-11-06,0
2001-11-07,3.68E-08
2001-11-08,0
2001-11-09,0
2001-11-10,2.43E-07
2001-11-11,3.49E-07
2001-11-12,2.48E-08
2001-11-13,1.07E-07
2001-11-14,9.82E-06
2001-11-15,2.88E-05
2001-11-16,1.95E-05
2001-11-17,2.75E-08
2001-11-18,0
2001-11-19,2.11E-06
2001-11-20,0
2001-11-21,0
2001-11-22,4.66E-08
2001-11-23,1.15E-07
2001-11-24,1.33E-06
2001-11-25,1.38E-07
2001-11-26,2.05E-05
2001-11-27,0
2001-11-28,1.25E-07
2001-11-29,1.98E-06
2001-11-30,1.27E-07
2001-12-01,2.22E-07
2001-12-02,6.48E-05
2001-12-03,3.59E-08
2001-12-04,3.37E-07
2001-12-05,2.49E-06
2001-12-06,5.04E-08
2001-12-07,0
2001-12-08,1.40E-07
2001-12-09,0
2001-12-10,1.30E-06
2001-12-11,1.52E-07
2001-12-12,0
2001-12-13,6.37E-05
2001-12-14,4.46E-07
2001-12-15,0
2001-12-16,0
2001-12-17,0
2001-12-18,1.06E-07
2001-12-19,9.33E-06
2001-12-20,1.41E-05
2001-12-21,2.18E-07
2001-12-22,0.000491476
2001-12-23,0.000173701
2001-12-24,2.45E-07
2001-12-25,1.71E-08
2001-12-26,8.56E-06
2001-12-27,0
2001-12-28,3.08E-08
2001-12-29,6.25E-05
2001-12-30,5.40E-06
2001-12-31,2.25E-06
2002-01-01,0
2002-01-02,0
2002-01-03,2.84E-08
2002-01-04,0
2002-01-05,6.73E-07
2002-01-06,6.16E-07
2002-01-07,8.80E-08
2002-01-08,3.88E-07
2002-01-09,0
2002-01-10,9.57E-08
2002-01-11,0.000303353
2002-01-12,6.99E-08
2002-01-13,0
2002-01-14,3.39E-05
2002-01-15,4.71E-08
2002-01-16,0
2002-01-17,6.03E-08
2002-01-18,0
2002-01-19,8.03E-05
2002-01-20,4.98E-07
2002-01-21,0
2002-01-22,1.03E-06
2002-01-23,2.67E-05
2002-01-24,1.52E-08
2002-01-25,0
2002-01-26,5.79E-06
2002-01-27,0
2002-01-28,0
2002-01-29,1.81E-07
2002-01-30,5.62E-08
2002-01-31,0
2002-02-01,0
2002-02-02,2.33E-06
2002-02-03,1.93E-08
2002-02-04,2.37E-05
2002-02-05,4.24E-06
2002-02-06,2.56E-06
2002-02-07,2.69E-06
2002-02-08,1.28E-06
2002-02-09,4.66E-06
2002-02-10,7.72E-08
2002-02-11,3.60E-05
2002-02-12,1.14E-08
2002-02-13,7.78E-07
2002-02-14,9.39E-05
