Date,Variable
1986-01-01,97515.31
1986-01-02,97077.63
1986-01-03,98453.98
1986-01-04,99253.85
1986-01-05,98786.55
1986-01-06,99178.75
1986-01-07,99566.09
1986-01-08,99036.69
1986-01-09,99165.38
1986-01-10,99470.71
1986-01-11,98601.24
1986-01-12,98795.09
1986-01-13,99527.66
1986-01-14,99559.83
1986-01-15,99261.84
1986-01-16,98738.3
1986-01-17,98401.69
1986-01-18,99354.71
1986-01-19,99535.95
1986-01-20,98187.05
1986-01-21,97414.62
1986-01-22,97893.48
1986-01-23,98886.58
1986-01-24,99827.91
1986-01-25,98685.88
1986-01-26,99530.94
1986-01-27,99635.55
1986-01-28,99796.18
1986-01-29,100366.4
1986-01-30,99899.53
1986-01-31,99105.38
1986-02-01,98467.59
1986-02-02,99266.67
1986-02-03,99131.1
1986-02-04,98913.45
1986-02-05,99069.81
1986-02-06,99162
1986-02-07,99505.82
1986-02-08,101059.2
1986-02-09,99536.76
1986-02-10,98394.62
1986-02-11,99057.83
1986-02-12,99850.78
1986-02-13,98926.44
1986-02-14,100090.1
1986-02-15,100715.2
1986-02-16,99789.66
1986-02-17,98818.02
1986-02-18,99082.8
1986-02-19,99413.82
1986-02-20,99349.59
1986-02-21,99182.99
1986-02-22,99950.49
1986-02-23,99765.95
1986-02-24,99438.73
1986-02-25,99326.34
1986-02-26,99279.75
1986-02-27,98946.16
1986-02-28,98846.25
1986-03-01,98520.97
1986-03-02,99734.93
1986-03-03,99874.64
1986-03-04,98788.02
1986-03-05,98810.46
1986-03-06,98381.86
1986-03-07,98011.95
1986-03-08,97255.11
1986-03-09,98738.07
1986-03-10,99382.12
1986-03-11,98200.37
1986-03-12,98737.03
1986-03-13,98500.44
1986-03-14,98113.06
1986-03-15,99429.81
1986-03-16,98530.3
1986-03-17,98119.87
1986-03-18,97425.65
1986-03-19,98591.38
1986-03-20,99785.34
1986-03-21,99537.24
1986-03-22,97407.72
1986-03-23,97724.23
1986-03-24,96424.82
1986-03-25,96448.77
1986-03-26,97240.25
1986-03-27,98087.5
1986-03-28,98458.33
1986-03-29,96985.55
1986-03-30,96148.49
1986-03-31,96843.45
1986-04-01,97263.91
1986-04-02,97565.89
1986-04-03,97454.62
1986-04-04,97140.62
1986-04-05,97725.18
1986-04-06,98191.99
1986-04-07,97990.39
1986-04-08,99912.58
1986-04-09,99939.47
1986-04-10,99456.03
1986-04-11,99100.43
1986-04-12,98077.72
1986-04-13,98422.04
1986-04-14,98982.65
1986-04-15,99863.8
1986-04-16,98657.36
1986-04-17,98406.65
1986-04-18,98662.72
1986-04-19,98742.48
1986-04-20,99094.72
1986-04-21,98841.89
1986-04-22,99919.69
1986-04-23,99375.7
1986-04-24,98542.56
1986-04-25,97763.32
1986-04-26,98454.91
1986-04-27,98573.92
1986-04-28,97991.03
1986-04-29,98904.16
1986-04-30,98744.63
1986-05-01,98922.76
1986-05-02,98939.23
1986-05-03,98428.99
1986-05-04,98056.55
1986-05-05,98922.67
1986-05-06,99060.52
1986-05-07,99481.21
1986-05-08,97650.21
1986-05-09,98314.53
1986-05-10,98600.03
1986-05-11,97990.2
1986-05-12,98714.77
1986-05-13,98672.47
1986-05-14,98524.82
1986-05-15,98370.98
1986-05-16,98413.68
1986-05-17,98350.27
1986-05-18,98416.28
1986-05-19,98550.26
1986-05-20,97688.1
1986-05-21,98533.95
1986-05-22,98244.04
1986-05-23,98217.38
1986-05-24,98939.14
1986-05-25,99282.96
1986-05-26,99427.41
1986-05-27,98962.72
1986-05-28,98197.3
1986-05-29,98405.41
1986-05-30,98542.59
1986-05-31,97893.84
1986-06-01,98147.28
1986-06-02,97621.19
1986-06-03,98302.72
1986-06-04,99041.7
1986-06-05,99450.22
1986-06-06,99468.45
1986-06-07,98903.45
1986-06-08,98622.4
1986-06-09,98663.06
1986-06-10,98819.46
1986-06-11,98493.36
