Date,Variable
1991-01-01,277.8176
1991-01-02,278.432
1991-01-03,275.247
1991-01-04,271.2982
1991-01-05,273.94912999999997
1991-01-06,274.3522
1991-01-07,273.86407
1991-01-08,275.80672999999996
1991-01-09,271.78055
1991-01-10,268.74185
1991-01-11,270.742
1991-01-12,273.99075
1991-01-13,271.36075
1991-01-14,266.44522
1991-01-15,263.88013
1991-01-16,272.69855
1991-01-17,275.53558
1991-01-18,272.29425
1991-01-19,262.8949
1991-01-20,271.51027999999997
1991-01-21,274.7065
1991-01-22,264.1286
1991-01-23,258.0401
1991-01-24,273.1827
1991-01-25,273.65115
1991-01-26,269.05835
1991-01-27,259.01746
1991-01-28,267.89517
1991-01-29,273.63126
1991-01-30,270.82574
1991-01-31,270.9184
1991-02-01,259.70547
1991-02-02,272.7458
1991-02-03,274.8502
1991-02-04,275.11636
1991-02-05,275.19794
1991-02-06,273.8216
1991-02-07,272.09122
1991-02-08,268.05127000000005
1991-02-09,271.4151
1991-02-10,274.7903
1991-02-11,274.0447
1991-02-12,277.87195
1991-02-13,274.61456
1991-02-14,275.4456
1991-02-15,281.4844
1991-02-16,283.12878
1991-02-17,279.97485
1991-02-18,272.13263
1991-02-19,272.5118
1991-02-20,266.93964
1991-02-21,276.11642
1991-02-22,280.5082
1991-02-23,272.05527
1991-02-24,273.0191
1991-02-25,276.5848
1991-02-26,275.88443
1991-02-27,274.52057
1991-02-28,272.4071
1991-03-01,277.67432
1991-03-02,287.0505
1991-03-03,280.8165
1991-03-04,274.18082000000004
1991-03-05,280.29535
1991-03-06,280.25082000000003
1991-03-07,274.91727000000003
1991-03-08,275.30773999999997
1991-03-09,277.66714
1991-03-10,278.83987
1991-03-11,273.67044
1991-03-12,270.59326
1991-03-13,272.0596
1991-03-14,271.32004
1991-03-15,274.1125
1991-03-16,270.12557999999996
1991-03-17,270.35873
1991-03-18,270.82428
1991-03-19,277.68384
1991-03-20,278.0486
1991-03-21,278.33704
1991-03-22,291.9973
1991-03-23,289.12088
1991-03-24,282.7905
1991-03-25,282.55987999999996
1991-03-26,282.99915
1991-03-27,279.26926000000003
1991-03-28,276.72092000000004
1991-03-29,283.467
1991-03-30,291.67438
1991-03-31,291.2527
1991-04-01,291.34866
1991-04-02,285.78513
1991-04-03,286.29562000000004
1991-04-04,284.5798
1991-04-05,286.4309
1991-04-06,296.645
1991-04-07,298.69376
1991-04-08,293.5525
1991-04-09,285.87628
1991-04-10,289.15887000000004
1991-04-11,286.40918
1991-04-12,285.81073
1991-04-13,293.1893
1991-04-14,296.42203
1991-04-15,290.31692999999996
1991-04-16,285.1172
1991-04-17,285.80908
1991-04-18,286.97534
1991-04-19,291.509
1991-04-20,290.6105
1991-04-21,296.10104
1991-04-22,296.01333999999997
1991-04-23,300.49066
1991-04-24,297.38153
1991-04-25,290.85345
1991-04-26,285.34533999999996
1991-04-27,283.24762000000004
1991-04-28,290.5405
1991-04-29,291.62045
1991-04-30,293.9713
1991-05-01,291.04272000000003
1991-05-02,284.2441
1991-05-03,286.84583
1991-05-04,292.56683
1991-05-05,290.2027
1991-05-06,285.73148
1991-05-07,278.8809
1991-05-08,281.58032000000003
1991-05-09,287.38672
1991-05-10,288.29357999999996
1991-05-11,289.10397
1991-05-12,283.07968
1991-05-13,285.7187
1991-05-14,295.64392000000004
1991-05-15,290.97437
1991-05-16,286.7733
1991-05-17,288.3423
1991-05-18,290.16573999999997
1991-05-19,292.39844
1991-05-20,285.84862999999996
1991-05-21,297.30466
1991-05-22,294.81924
1991-05-23,293.88074
1991-05-24,296.0118
1991-05-25,292.40747000000005
1991-05-26,299.1063
1991-05-27,298.80823
1991-05-28,303.5513
1991-05-29,294.91367
1991-05-30,291.9823
1991-05-31,287.5839
1991-06-01,288.50235
1991-06-02,294.5149
1991-06-03,296.0738
1991-06-04,298.1448
1991-06-05,295.95547
1991-06-06,292.45617999999996
1991-06-07,295.87917999999996
1991-06-08,296.76937999999996
1991-06-09,300.1214
1991-06-10,302.96948
1991-06-11,300.51468
1991-06-12,298.0813
1991-06-13,302.3224
1991-06-14,305.07437000000004
1991-06-15,302.80078
1991-06-16,299.10095
1991-06-17,296.4692
1991-06-18,299.4856
1991-06-19,302.07892000000004
1991-06-20,301.36185
1991-06-21,302.16547
1991-06-22,302.99213
1991-06-23,304.8256
1991-06-24,300.30697999999995
1991-06-25,303.0677
1991-06-26,301.1177
1991-06-27,296.1517
1991-06-28,295.2618
1991-06-29,298.13818
1991-06-30,307.89288
1991-07-01,306.40982
1991-07-02,300.76767
1991-07-03,300.8453
1991-07-04,304.10815
1991-07-05,301.28503
1991-07-06,304.0591
1991-07-07,306.89362
1991-07-08,303.0582
1991-07-09,298.56396
1991-07-10,299.8139
1991-07-11,302.6399
1991-07-12,298.89194
1991-07-13,307.15488
1991-07-14,303.88486
1991-07-15,296.78757
1991-07-16,299.31665
1991-07-17,302.32336000000004
1991-07-18,304.8734
1991-07-19,308.29607999999996
1991-07-20,304.95877
1991-07-21,309.10992000000005
1991-07-22,304.2845
1991-07-23,303.5072
1991-07-24,304.3291
1991-07-25,302.883
1991-07-26,307.13388
1991-07-27,305.41348
1991-07-28,305.13034
1991-07-29,303.15436
1991-07-30,300.86017000000004
1991-07-31,300.26862
1991-08-01,299.59972999999997
1991-08-02,294.28112999999996
1991-08-03,295.3434
1991-08-04,298.36438
1991-08-05,304.3223
1991-08-06,309.9025
1991-08-07,309.20867999999996
1991-08-08,301.32455
1991-08-09,300.82605
1991-08-10,302.27066
1991-08-11,297.91647
1991-08-12,292.937
1991-08-13,299.21924
1991-08-14,302.6386
1991-08-15,301.94556
1991-08-16,302.0782
1991-08-17,304.8173
1991-08-18,311.06625
1991-08-19,309.36047
1991-08-20,307.53253
1991-08-21,301.9909
1991-08-22,308.26816
1991-08-23,305.43396
1991-08-24,307.79965
1991-08-25,302.4645
1991-08-26,294.41033999999996
1991-08-27,297.5398
1991-08-28,302.29114
1991-08-29,304.1016
1991-08-30,299.8664
1991-08-31,299.21657999999996
1991-09-01,297.67307
1991-09-02,301.17548
1991-09-03,299.99753
1991-09-04,296.5302
1991-09-05,292.29675
1991-09-06,294.175
1991-09-07,287.9628
1991-09-08,289.73746
1991-09-09,296.27847
1991-09-10,297.7057
1991-09-11,292.82425
1991-09-12,299.46857
1991-09-13,294.47256
1991-09-14,290.10504
1991-09-15,296.14377
1991-09-16,303.06964
1991-09-17,306.37497
1991-09-18,306.7165
1991-09-19,306.99503
1991-09-20,305.34097
1991-09-21,302.8268
1991-09-22,300.2064
1991-09-23,296.70944
1991-09-24,295.19802999999996
1991-09-25,291.4505
1991-09-26,289.54163
1991-09-27,291.0523
1991-09-28,296.84637000000004
1991-09-29,300.7459
1991-09-30,302.9985
1991-10-01,303.28357
1991-10-02,302.14288
1991-10-03,298.57166
1991-10-04,296.76358
1991-10-05,290.32443
1991-10-06,290.02832
1991-10-07,298.82877
1991-10-08,294.24182
1991-10-09,294.44226000000003
1991-10-10,298.79373
1991-10-11,299.17900000000003
1991-10-12,296.10098
1991-10-13,283.81273999999996
1991-10-14,287.25748
1991-10-15,283.7458
1991-10-16,277.55896
1991-10-17,281.55478
1991-10-18,285.67365
1991-10-19,289.95288
1991-10-20,287.47247000000004
1991-10-21,287.84772000000004
1991-10-22,291.35046
1991-10-23,295.72836
1991-10-24,290.6176
1991-10-25,282.1512
1991-10-26,286.49695
1991-10-27,283.84094
1991-10-28,286.51257000000004
1991-10-29,289.81503
1991-10-30,290.1415
1991-10-31,287.94366
1991-11-01,283.51687999999996
1991-11-02,288.22134
1991-11-03,291.96945
1991-11-04,293.53488
1991-11-05,287.34958
1991-11-06,283.82007000000004
1991-11-07,283.8591
1991-11-08,284.8264
1991-11-09,280.5128
1991-11-10,277.08133
1991-11-11,281.77054
1991-11-12,283.66122
1991-11-13,282.40936
1991-11-14,278.85143999999997
1991-11-15,278.41977
1991-11-16,284.356
1991-11-17,283.88107
1991-11-18,286.95662999999996
1991-11-19,281.14232999999996
1991-11-20,274.461
1991-11-21,278.10034
1991-11-22,280.57277999999997
1991-11-23,277.6708
1991-11-24,281.31836
1991-11-25,279.84682999999995
1991-11-26,273.16727000000003
1991-11-27,274.03213999999997
1991-11-28,278.49014
1991-11-29,285.26547
1991-11-30,285.51495
1991-12-01,287.0344
1991-12-02,287.31534
1991-12-03,278.57065
1991-12-04,275.62674
1991-12-05,279.63372999999996
1991-12-06,285.644
1991-12-07,271.78876
1991-12-08,273.69675
1991-12-09,275.95333999999997
