Date,precipitation,avg_hourly_pressure_station,avg_hourly_wind_speed,max_wind_speed,avg_hourly_temperature,max_temperature,min_temperature
1986-01-01,0.0,99.52,21.88,31,-5.31,-3.0,-7.0
1986-01-02,0.0,99.61,9.17,19,-3.04,0.8,-8.0
1986-01-03,1.4,99.04,21.46,33,-4.86,-0.5,-10.8
1986-01-04,0.8,99.54,15.17,33,-7.09,-3.2,-9.1
1986-01-05,0.2,98.26,29.92,48,-6.65,-3.8,-9.4
1986-01-06,0.0,99.06,24.46,39,-9.53,-6.4,-14.6
1986-01-07,0.0,100.79,15.33,22,-15.46,-11.2,-21.1
1986-01-08,0.0,101.41,17.46,52,-13.6,-6.1,-21.9
1986-01-09,0.0,99.4,33.67,48,-3.17,0.9,-7.9
1986-01-10,0.0,99.39,22.75,35,-1.88,1.5,-5.7
1986-01-11,0.0,99.28,22.62,33,-0.76,3.0,-5.3
1986-01-12,0.0,97.81,31.58,46,1.91,4.0,-2.7
1986-01-13,0.2,99.19,28.96,43,-11.37,-2.7,-15.8
1986-01-14,0.8,99.65,12.79,24,-16.08,-13.1,-20.2
1986-01-15,0.0,100.5,10.83,26,-13.29,-6.4,-21.0
1986-01-16,0.0,100.4,8.04,15,-2.96,-0.2,-6.6
1986-01-17,1.4,99.4,17.58,31,3.32,6.2,-2.5
1986-01-18,0.0,99.35,12.71,19,4.3,6.7,2.1
1986-01-19,12.4,98.39,16.21,30,3.59,5.2,2.0
1986-01-20,0.9,97.98,39.38,59,-0.23,2.8,-1.6
1986-01-21,0.0,99.27,13.92,28,-0.66,3.9,-5.0
1986-01-22,0.0,99.24,27.92,43,0.22,4.5,-5.9
1986-01-23,0.0,101.09,8.46,19,-7.8,-5.3,-11.6
1986-01-24,0.6,101.17,19.71,43,-5.67,-2.2,-8.6
1986-01-25,3.2,99.48,27.08,37,0.22,2.2,-2.4
1986-01-26,0.0,98.53,10.71,15,-2.32,1.3,-5.0
1986-01-27,2.4,97.95,35.62,56,-13.21,-4.2,-17.2
1986-01-28,2.0,98.55,20.92,39,-14.03,-10.2,-18.0
1986-01-29,0.2,99.11,8.58,22,-9.5,-6.5,-12.6
1986-01-30,0.0,100.13,16.71,28,-6.86,-4.8,-10.1
1986-01-31,0.0,100.5,16.38,30,-5.95,-3.1,-11.0
1986-02-01,7.0,100.29,18.62,33,-5.21,-0.5,-11.3
1986-02-02,0.0,99.94,13.5,26,-3.44,-1.4,-6.7
1986-02-03,0.0,100.23,10.58,20,-1.63,0.2,-2.8
1986-02-04,9.4,99.24,20.12,28,-1.66,0.3,-3.5
1986-02-05,0.0,98.9,14.83,22,-0.29,0.7,-1.7
1986-02-06,0.0,100.33,23.04,31,-9.02,-0.6,-12.4
1986-02-07,7.0,99.32,29.67,44,-7.67,-5.0,-10.0
1986-02-08,0.8,99.67,11.04,26,-6.97,-5.5,-9.0
1986-02-09,0.0,99.71,10.29,22,-4.1,-1.3,-6.2
1986-02-10,0.0,99.84,13.92,22,-9.77,-5.5,-14.9
1986-02-11,0.0,99.65,12.75,20,-11.95,-7.5,-16.9
1986-02-12,0.0,99.62,16.83,28,-11.01,-5.9,-16.3
1986-02-13,0.0,99.89,23.21,30,-10.32,-7.0,-13.4
1986-02-14,0.0,99.14,15.21,24,-7.5,-4.3,-10.4
1986-02-15,0.0,99.29,15.33,35,-8.96,-5.2,-14.0
1986-02-16,0.6,99.7,6.88,22,-5.9,-3.2,-9.2
1986-02-17,3.2,98.96,15.67,26,-2.29,-0.7,-3.4
1986-02-18,0.0,98.53,3.42,7,-0.48,1.5,-3.0
1986-02-19,0.0,98.54,7.83,19,1.2,2.5,0.3
1986-02-20,1.8,99.0,7.54,13,0.98,1.9,0.0
1986-02-21,1.4,99.59,29.33,48,-6.08,0.5,-11.7
1986-02-22,0.0,99.84,14.42,22,-8.8,-2.7,-15.1
1986-02-23,0.2,99.23,19.71,31,-3.6,-1.4,-5.2
1986-02-24,0.0,99.53,9.92,17,-5.23,-1.3,-9.5
1986-02-25,0.0,99.6,12.88,30,-10.55,-7.6,-14.5
1986-02-26,0.0,98.62,1.71,22,-10.95,-7.7,-14.6
1986-02-27,0.2,98.55,17.12,30,-11.4,-7.5,-15.3
1986-02-28,0.4,99.05,13.88,30,-7.91,-4.2,-12.6
1986-03-01,0.0,99.3,15.25,31,-6.93,-1.5,-12.6
1986-03-02,0.0,99.05,7.96,17,-2.69,1.2,-7.0
1986-03-03,0.0,99.22,4.12,9,-1.67,5.1,-6.6
1986-03-04,2.0,99.14,4.38,13,0.2,2.9,-1.5
1986-03-05,1.8,99.06,13.75,22,-1.48,2.1,-4.9
1986-03-06,7.6,97.84,26.62,41,-5.23,-3.1,-9.1
1986-03-07,0.4,99.03,36.33,44,-13.81,-8.9,-16.0
1986-03-08,0.8,100.46,13.38,22,-12.51,-6.8,-20.0
1986-03-09,8.2,99.39,10.29,22,-2.93,-0.1,-7.1
1986-03-10,3.7,98.15,12.42,30,2.53,9.2,-1.6
1986-03-11,0.4,98.96,24.12,48,0.28,7.3,-3.8
1986-03-12,0.0,100.32,19.04,33,-1.43,1.4,-5.7
1986-03-13,10.3,99.27,19.46,31,1.05,2.1,0.0
1986-03-14,0.8,98.78,4.46,11,2.0,3.3,1.1
1986-03-15,0.0,98.74,12.17,17,2.35,4.1,1.3
1986-03-16,0.0,99.49,14.38,26,0.98,2.9,-1.7
1986-03-17,0.0,100.09,8.62,17,0.86,5.8,-2.9
1986-03-18,3.0,99.59,11.54,24,1.68,4.9,-2.0
1986-03-19,6.2,97.59,35.62,63,4.11,14.2,-9.7
1986-03-20,0.0,100.33,24.25,35,-12.43,-9.2,-14.8
1986-03-21,0.0,100.91,12.75,22,-7.41,-2.2,-14.1
1986-03-22,0.0,100.53,18.62,33,0.48,6.1,-5.8
1986-03-23,0.4,99.8,23.75,31,4.44,11.2,-1.6
1986-03-24,0.0,101.19,17.46,33,-0.99,4.3,-5.7
1986-03-25,0.0,100.36,18.79,43,9.6,19.6,-0.8
1986-03-26,2.2,99.62,21.92,48,12.2,19.5,4.1
1986-03-27,1.0,100.01,16.96,26,3.62,5.9,0.9
1986-03-28,0.0,99.86,24.04,48,7.11,12.8,-0.8
1986-03-29,0.0,99.19,23.54,37,15.23,21.2,9.1
1986-03-30,0.0,99.02,26.67,39,15.34,24.5,4.1
1986-03-31,0.0,100.2,9.21,15,5.56,12.0,-0.3
1986-04-01,1.6,99.3,17.17,48,10.1,25.8,1.0
1986-04-02,0.0,100.12,17.83,26,5.93,12.4,-0.4
1986-04-03,0.0,100.35,18.58,31,6.76,11.4,-0.9
1986-04-04,1.2,100.39,12.38,20,6.66,10.2,4.5
1986-04-05,7.8,100.22,22.67,37,4.38,5.8,3.5
1986-04-06,0.8,99.13,11.58,31,9.18,17.6,4.1
1986-04-07,0.5,98.65,20.33,37,11.14,16.1,6.3
1986-04-08,0.0,98.12,28.08,37,6.24,8.3,3.1
1986-04-09,0.0,98.24,29.0,41,2.42,4.6,-0.2
1986-04-10,0.2,98.08,23.92,35,0.17,3.3,-1.2
1986-04-11,1.8,97.89,15.12,22,0.54,5.2,-1.8
1986-04-12,0.0,98.95,14.54,31,2.4,7.6,-1.8
1986-04-13,0.0,99.51,13.17,22,5.17,12.9,-2.3
1986-04-14,0.0,99.69,13.0,30,6.74,12.5,-2.4
1986-04-15,7.8,98.89,16.04,30,6.69,8.5,4.9
1986-04-16,16.6,99.16,22.67,35,5.72,8.0,4.0
1986-04-17,0.6,99.65,15.92,24,10.6,17.1,5.1
1986-04-18,0.0,100.28,11.29,17,10.88,16.8,3.2
1986-04-19,0.0,99.76,8.79,20,10.53,16.5,1.8
1986-04-20,14.0,98.6,9.17,24,10.93,15.0,7.0
1986-04-21,0.6,97.86,24.25,37,5.57,9.9,-2.5
1986-04-22,0.2,99.43,18.12,24,-1.51,1.4,-4.7
1986-04-23,0.0,100.14,17.46,24,3.49,11.3,-4.0
1986-04-24,0.0,100.13,9.92,24,8.97,16.1,-2.0
1986-04-25,0.0,99.65,7.79,15,13.07,19.7,4.4
1986-04-26,0.0,99.75,9.79,19,15.24,21.7,6.1
1986-04-27,0.0,99.75,9.35,17,15.82,21.4,8.2
1986-04-28,0.0,99.09,12.58,30,16.55,23.2,7.9
1986-04-29,0.3,99.14,16.67,28,12.45,15.6,6.8
1986-04-30,0.0,99.56,8.04,17,10.8,16.6,2.9
1986-05-01,1.2,98.46,26.33,48,11.43,17.8,1.5
1986-05-02,0.0,99.58,27.75,35,3.55,9.1,-0.3
1986-05-03,0.0,100.13,25.5,44,4.0,9.8,-3.0
1986-05-04,0.0,99.63,20.62,43,9.5,17.9,-1.2
1986-05-05,0.0,98.68,21.62,30,19.15,24.8,13.9
1986-05-06,0.0,98.73,16.38,26,19.87,27.0,13.3
1986-05-07,0.0,98.97,25.38,39,16.46,19.6,8.5
1986-05-08,0.0,99.72,17.38,28,12.06,18.4,6.8
1986-05-09,0.0,100.43,14.54,22,11.43,15.9,5.4
1986-05-10,0.0,100.2,8.08,13,12.51,19.9,3.2
1986-05-11,0.0,99.7,13.83,20,13.77,19.3,7.0
1986-05-12,0.0,99.72,17.04,33,12.47,18.1,5.0
1986-05-13,0.0,99.58,13.54,24,13.21,20.0,3.8
1986-05-14,0.8,99.54,12.33,20,13.26,15.7,6.0
1986-05-15,1.4,99.65,13.0,22,15.49,20.5,9.9
1986-05-16,8.0,99.15,16.92,35,17.65,21.7,13.8
1986-05-17,0.0,99.24,13.0,20,19.86,25.7,13.5
1986-05-18,22.0,98.83,17.75,33,17.77,25.9,12.4
1986-05-19,20.3,99.31,14.83,22,11.81,12.6,10.4
1986-05-20,5.1,99.18,9.75,19,10.65,11.9,9.8
1986-05-21,0.0,99.24,9.96,17,11.58,14.5,9.4
1986-05-22,9.4,99.29,6.46,13,12.14,16.7,6.7
1986-05-23,5.8,99.2,7.96,15,13.17,15.8,9.4
1986-05-24,0.0,99.75,9.88,19,14.56,20.9,8.9
1986-05-25,0.0,99.91,12.88,19,17.37,24.9,9.5
1986-05-26,0.0,99.95,8.54,15,18.61,25.2,12.4
1986-05-27,0.0,99.66,7.42,15,18.08,23.6,11.8
1986-05-28,0.0,99.57,12.42,24,20.49,27.6,12.9
1986-05-29,0.0,99.32,13.96,26,22.77,28.7,14.6
1986-05-30,0.0,98.79,12.58,26,23.22,29.0,17.1
1986-05-31,1.2,98.76,12.17,22,17.4,23.0,11.8
1986-06-01,0.4,98.53,19.08,41,15.46,27.1,7.1
1986-06-02,0.0,100.01,17.25,26,9.12,14.1,4.3
1986-06-03,0.0,100.31,9.42,19,10.71,17.6,2.2
1986-06-04,0.0,99.41,10.75,22,18.08,27.0,5.8
1986-06-05,4.4,99.51,12.54,20,14.85,17.4,10.3
1986-06-06,0.0,99.63,12.5,24,14.63,17.6,11.8
1986-06-07,1.1,98.87,9.25,15,16.35,21.6,14.2
1986-06-08,3.2,98.7,20.96,31,18.94,23.9,10.5
1986-06-09,0.0,100.04,9.58,19,15.63,23.1,7.6
1986-06-10,6.8,99.65,7.42,13,15.63,23.7,6.3
1986-06-11,4.8,98.84,10.83,20,16.62,20.0,13.9
1986-06-12,12.6,98.54,16.12,35,15.02,17.0,13.5
