YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_NKT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT
1986,1,1,1.42,2.2,0.44,0.77,267.3,0.65,-999
1986,1,2,1.86,2.22,0.58,1,246.3,0.82,-999
1986,1,3,1.46,2.23,0.45,0.78,272.3,0.67,-999
1986,1,4,1.02,2.25,0.31,0.54,265.5,0.48,-999
1986,1,5,1.28,2.24,0.39,0.67,253.9,0.59,-999
1986,1,6,1.84,2.34,0.55,0.95,263.4,0.83,-999
1986,1,7,1.54,2.37,0.46,0.8,260.5,0.7,-999
1986,1,8,1.31,2.41,0.39,0.67,259.1,0.62,-999
1986,1,9,2.1,2.36,0.62,1.06,250.7,0.91,-999
1986,1,10,2.25,2.39,0.66,1.12,262.9,0.97,-999
1986,1,11,1.52,2.37,0.45,0.76,275.5,0.7,-999
1986,1,12,1.2,2.45,0.34,0.59,283.6,0.55,-999
1986,1,13,1.98,2.46,0.56,0.96,255.6,0.88,-999
1986,1,14,1.6,2.47,0.45,0.77,243.9,0.72,-999
1986,1,15,1.28,2.58,0.36,0.6,246.4,0.6,-999
1986,1,16,2.07,2.63,0.57,0.96,257.8,0.91,-999
1986,1,17,2.55,2.67,0.7,1.17,253.9,1.11,-999
1986,1,18,0.94,2.69,0.26,0.43,288.6,0.45,-999
1986,1,19,1.49,2.61,0.4,0.66,286.8,0.68,-999
1986,1,20,0.37,2.65,0.1,0.16,269.9,0.2,-999
1986,1,21,2.28,2.74,0.6,0.99,237.5,1,-999
1986,1,22,1.68,2.73,0.44,0.72,283.6,0.77,-999
1986,1,23,2.67,2.87,0.69,1.12,246.9,1.17,-999
1986,1,24,1.5,2.87,0.38,0.62,265.9,0.71,-999
1986,1,25,1.35,2.93,0.34,0.55,271.7,0.65,-999
1986,1,26,1.68,2.94,0.41,0.68,260.1,0.78,-999
1986,1,27,1.33,2.98,0.33,0.53,253.8,0.63,-999
1986,1,28,1.9,2.97,0.46,0.74,239.4,0.86,-999
1986,1,29,1.99,3.02,0.48,0.77,254.1,0.89,-999
1986,1,30,2.06,3.04,0.48,0.78,258.7,0.92,-999
1986,1,31,2.46,3.12,0.58,0.91,242.4,1.1,-999
1986,2,1,0.82,3.13,0.19,0.3,256.3,0.42,-999
1986,2,2,3.2,3.29,0.73,1.15,243.9,1.4,-999
1986,2,3,2.56,3.31,0.58,0.91,229.3,1.16,-999
1986,2,4,2.12,3.41,0.47,0.73,256.7,1,-999
1986,2,5,2.08,3.37,0.45,0.71,252.8,0.94,-999
1986,2,6,3.41,3.48,0.73,1.14,200,1.48,-999
1986,2,7,1.66,3.32,0.36,0.55,244.7,0.78,-999
1986,2,8,2.78,3.36,0.59,0.91,244.4,1.23,-999
1986,2,9,1.84,3.45,0.38,0.59,272,0.87,-999
1986,2,10,2.76,3.42,0.57,0.87,246.7,1.25,-999
1986,2,11,3.44,3.68,0.7,1.06,239.8,1.52,-999
1986,2,12,2.91,3.63,0.59,0.88,248.9,1.3,-999
1986,2,13,3.24,3.7,0.64,0.97,244.7,1.43,-999
1986,2,14,1.87,3.73,0.37,0.55,268.3,0.9,-999
1986,2,15,2.46,3.78,0.48,0.71,258.3,1.12,-999
1986,2,16,2.53,3.71,0.48,0.72,260.6,1.2,-999
1986,2,17,2.3,3.85,0.43,0.64,275.6,1.07,-999
1986,2,18,3.17,3.92,0.59,0.87,269.7,1.43,-999
1986,2,19,2.12,3.88,0.39,0.57,290.2,1.03,-999
1986,2,20,1.55,3.91,0.28,0.41,303.6,0.78,-999
1986,2,21,2.49,4.03,0.45,0.65,274,1.19,-999
1986,2,22,2.63,4.16,0.46,0.67,259.5,1.25,-999
1986,2,23,1.98,4.17,0.34,0.5,280.4,0.95,-999
1986,2,24,3.27,4.24,0.56,0.81,264.2,1.5,-999
1986,2,25,4.14,4.28,0.7,1.02,239.7,1.82,-999
1986,2,26,3.3,4.31,0.55,0.8,239.6,1.51,-999
1986,2,27,4.27,4.39,0.71,1.02,241.8,1.88,-999
1986,2,28,2.03,4.38,0.34,0.48,250.9,0.99,-999
1986,3,1,3.82,4.48,0.62,0.88,266,1.72,-999
1986,3,2,2.59,4.54,0.41,0.59,283.1,1.23,-999
1986,3,3,4.24,4.72,0.67,0.95,269.2,1.92,-999
1986,3,4,3.66,4.64,0.57,0.8,291.2,1.68,-999
1986,3,5,4.36,4.79,0.67,0.95,271.2,1.97,-999
1986,3,6,1.29,4.83,0.2,0.27,263.7,0.66,-999
1986,3,7,3.11,4.81,0.47,0.65,257.4,1.45,-999
1986,3,8,3.89,4.81,0.59,0.8,259.6,1.75,-999
1986,3,9,1.02,4.96,0.15,0.21,266.7,0.54,-999
1986,3,10,3.75,4.95,0.55,0.75,278.4,1.73,-999
1986,3,11,5.02,5.1,0.73,0.99,262,2.23,-999
1986,3,12,2.42,5.25,0.34,0.48,241.2,1.16,-999
1986,3,13,1.66,5.38,0.23,0.32,267.1,0.8,-999
1986,3,14,5.24,5.3,0.73,0.99,275.5,2.33,-999
1986,3,15,3.1,5.31,0.43,0.58,301,1.55,-999
1986,3,16,1.91,5.25,0.27,0.35,313.6,0.96,-999
1986,3,17,4.08,5.13,0.55,0.74,290.8,1.92,-999
1986,3,18,3.4,5.29,0.46,0.61,305.3,1.64,-999
1986,3,19,4.28,5.37,0.57,0.76,317.4,2.01,-999
1986,3,20,5.2,5.53,0.69,0.91,274.7,2.39,-999
1986,3,21,4.22,5.53,0.55,0.73,298.1,1.98,-999
1986,3,22,4.23,5.67,0.55,0.73,292.9,2,-999
1986,3,23,5.76,5.72,0.74,0.98,305.9,2.61,-999
1986,3,24,5.77,5.82,0.73,0.96,288.4,2.62,-999
1986,3,25,5.38,5.89,0.68,0.89,316.2,2.49,-999
1986,3,26,2.71,5.83,0.34,0.45,336.4,1.34,-999
