Climate Normals 1981-2010 Station Data,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID",,,,,,,,,,,,,,
STATION_NAME,PROVINCE,LATITUDE,LONGITUDE,ELEVATION,CLIMATE_ID,WMO_ID,TC_ID,,,,,,,
*TORONTO LESTER B. PEARSON INT'L A,ON," 43°40'38.000"" N"," 79°37'50.000"" W",173.4 m,6158733,71624,YYZ,,,,,,,
* This station meets WMO standards for temperature and precipitation.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)",,,,,,,,,,,,,,
B = At least 25 years,,,,,,,,,,,,,,
C = At least 20 years,,,,,,,,,,,,,,
D = At least 15 years,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1981 to 2010 Canadian Climate Normals station data,,,,,,,,,,,,,,
 ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Code
Temperature,,,,,,,,,,,,,,
Daily Average (°C),-5.5,-4.5,0.1,7.1,13.1,18.6,21.5,20.6,16.2,9.5,3.7,-2.2,8.2,A
Standard Deviation,3.2,2.3,2,1.6,1.9,1.6,1.5,1.5,1.6,1.5,1.5,2.6,1,A
Daily Maximum (°C),-1.5,-0.4,4.6,12.2,18.8,24.2,27.1,26,21.6,14.3,7.6,1.4,13,A
Daily Minimum (°C),-9.4,-8.7,-4.5,1.9,7.4,13,15.8,15.1,10.8,4.6,-0.2,-5.8,3.3,A
Extreme Maximum (°C),17.6,14.9,25.6,31.1,34.4,36.7,37.6,38.3,36.7,31.6,25,20,,
Date (yyyy/dd),2005/13,1984/23,1945/28,1990/25,1962/16,1952/25,Jul-88,1948/25,Feb-53,Aug-07,Jan-50,Mar-82,, 
Extreme Minimum (°C),-31.3,-31.1,-28.9,-17.2,-5.6,0.6,3.9,1.1,-3.9,-8.3,-18.3,-31.1,,
Date (yyyy/dd),Apr-81,1943/15,Apr-50,Jul-72,Jul-66,Aug-49,1968/30,1965/30,1965/27,1969/23,1949/26,1942/20,, 
Precipitation,,,,,,,,,,,,,,
Rainfall (mm),25.1,24.3,32.6,63,74.3,71.5,75.7,78.1,74.5,60.6,68,34,681.6,A
Snowfall (cm),29.5,24,17.7,4.5,0,0,0,0,0,0.4,7.5,24.9,108.5,A
Precipitation (mm),51.8,47.7,49.8,68.5,74.3,71.5,75.7,78.1,74.5,61.1,75.1,57.9,785.9,A
Average Snow Depth (cm),6,7,3,0,0,0,0,0,0,0,0,3,2,A
Median Snow Depth (cm),5,5,2,0,0,0,0,0,0,0,0,2,1,A
Snow Depth at Month-end (cm),8,5,0,0,0,0,0,0,0,0,0,3,1,A
Extreme Daily Rainfall (mm),58.7,31.8,41.7,55.8,92.7,53.8,118.5,80.8,108,121.4,86.1,40.9,,
Date (yyyy/dd),Sep-46,1975/24,1942/16,Nov-92,1944/31,2000/13,1980/28,1970/30,1948/18,1954/15,Oct-62,Jun-62,, 
Extreme Daily Snowfall (cm),36.8,39.9,32.3,26.7,2.3,0,0,0,0,7.4,33.5,28.2,,
Date (yyyy/dd),1966/23,1965/25,Oct-64,Oct-39,Jul-76,Jan-38,Jan-38,Jan-38,Jan-38,1962/25,1940/30,Nov-44,, 
Extreme Daily Precipitation (mm),58.7,55.9,41.7,55.8,92.7,53.8,118.5,80.8,108,121.4,86.1,40.9,,
Date (yyyy/dd),Sep-46,1965/25,1942/16,Nov-92,1944/31,2000/13,1980/28,1970/30,1948/18,1954/15,Oct-62,Jun-62,, 
Extreme Snow Depth (cm),67,48,30,13,0,0,0,0,0,13,18,36,,
Date (yyyy/dd),1999/15,2008/13,Sep-08,Apr-75,Jan-55,Jan-55,Jan-55,Jan-55,Jan-55,1969/22,2002/18,2008/24,, 
Days with Maximum Temperature,,,,,,,,,,,,,,
<= 0 °C,17.7,14.2,6.9,0.53,0,0,0,0,0,0,1.7,11.7,52.8,A
> 0 °C,13.3,14.1,24.1,29.5,31,30,31,31,30,31,28.3,19.3,312.5,A
> 10 °C,0.87,0.63,5.7,18.5,30,30,31,31,29.9,24.4,9.2,1.7,212.9,A
> 20 °C,0,0,0.57,3.2,11.6,24.1,30.3,29.5,18.6,4.1,0.23,0,122.3,A
> 30 °C,0,0,0,0.13,0.53,3.3,6.5,4.1,1.2,0.03,0,0,15.8,A
> 35 °C,0,0,0,0,0,0.1,0.47,0.17,0,0,0,0,0.74,A
Days with Minimum Temperature,,,,,,,,,,,,,,
> 0 °C,2.7,2,6.4,19.7,30.1,30,31,31,29.8,26.9,14.3,4.8,228.7,A
<= 2 °C,30.2,27.7,28,16,3.4,0,0,0.03,0.53,9.6,21.4,29.3,166.2,A
<= 0 °C,28.3,26.2,24.6,10.3,0.93,0,0,0,0.2,4.1,15.7,26.2,136.5,A
< -2 °C,25.8,23.3,19.5,5.2,0.03,0,0,0,0,1.1,9.5,21.7,106,A
< -10 °C,14.2,11.9,5,0.07,0,0,0,0,0,0,0.47,7.3,38.9,A
